scipy.sparse.linalg.bicg,12173353,no
scipy.sparse.linalg.bicgstab,28751093,yes
scipy.sparse.linalg.cg,14243579,yes
scipy.sparse.linalg.factorized,9919686,yes
scipy.sparse.linalg.gmres,46876951,no
scipy.sparse.linalg.lobpcg,29028044,yes
scipy.sparse.linalg.lsqr,43423346,no
scipy.sparse.linalg.splu,19107617,no
scipy.sparse.linalg.svds,50884533,yes
expm,53212497,yes
block_diag,10831417,no
scipy.odr.odr,70406964,yes
scipy.misc.fromimage,26033672,no
scipy.misc.toimage,33085142,no
scipy.misc.imsave,56485301,yes
scipy.misc.imread,9298665,yes
scipy.misc.imrotate,44339293,no
scipy.misc.imresize,49374829,yes
scipy.misc.imshow,40229630,yes
scipy.misc.factorial,56206632,no
scipy.misc.comb,18488005,no
scipy.misc.central_diff_weights,57035858,no
scipy.misc.derivative,18991408,no
hb_read,50046865,no
count_nonzero,52002080,yes
cholesky,50034761,no
linalg.cholesky,16699163,yes
bartlett,10766082,no
errstate,31833962,no
scipy.spatial.KDTree,45407356,no
scipy.spatial.KDTree.query,46934563,yes
scipy.spatial.KDTree.query_ball_point,52649815,no
scipy.spatial.KDTree.query_ball_tree,21884065,yes
scipy.spatial.cKDTree.query,66716891,yes
scipy.spatial.distance_matrix,58747022,yes
scipy.stats.mstats.rankdata,67205250,no
scipy.spatial.QhullError,76767585,yes
scipy.stats.mstats.kurtosis,13571198,no
scipy.stats.mstats.linregress,70588672,no
scipy.stats.mstats.trimboth,5218048,yes
scipy.stats.mstats.skew,25043103,no
scipy.stats.mstats.scoreatpercentile,49881561,no
scipy.stats.mstats.f_oneway,51637757,no
scipy.stats.mstats.moment,44504763,no
scipy.stats.mstats.spearmanr,32115900,no
scipy.stats.mstats.ttest_rel,40414440,no
scipy.stats.mstats.theilslopes,30390131,no
scipy.stats.mstats.mannwhitneyu,71607017,yes
scipy.fftpack.fft,62213330,yes
scipy.sparse.linalg.cg,61326000,no
scipy.sparse.linalg.gmres,33512081,yes
scipy.sparse.linalg.lsqr,31895814,yes
scipy.sparse.linalg.splu,60120076,yes
scipy.sparse.linalg.svds,56694800,yes
expm,25224227,no
block_diag,44461658,no
scipy.odr.odr,24804397,yes
scipy.misc.toimage,62708777,yes
scipy.misc.imsave,26918390,yes
scipy.misc.imread,49685160,yes
scipy.misc.imresize,26793582,yes
scipy.misc.imshow,43473742,yes
scipy.misc.factorial,41439421,no
scipy.misc.comb,21767690,yes
scipy.misc.derivative,18220216,yes
count_nonzero,13519521,no
cholesky,45532926,no
bartlett,24808724,yes
scipy.spatial.KDTree,52649815,yes
scipy.spatial.KDTree.query,21884065,no
scipy.spatial.KDTree.query_ball_point,71448096,yes
scipy.spatial.cKDTree.query,46934563,no
scipy.spatial.distance_matrix,54326216,yes
scipy.stats.mstats.rankdata,54103405,no
scipy.stats.mstats.kurtosis,30607574,no
scipy.stats.mstats.linregress,28753502,yes
scipy.stats.mstats.skew,52642945,no
scipy.stats.mstats.moment,22290747,no
scipy.stats.mstats.spearmanr,48398265,no
scipy.stats.mstats.theilslopes,24894063,yes
scipy.stats.mstats.mannwhitneyu,78296283,no
scipy.fftpack.fft,6363154,no
scipy.sparse.linalg.cg,66486759,yes
scipy.sparse.linalg.gmres,76391550,yes
scipy.sparse.linalg.lsqr,56147713,yes
scipy.sparse.linalg.splu,53682948,yes
scipy.sparse.linalg.svds,29930160,no
expm,49530410,yes
block_diag,24146629,yes
scipy.odr.odr,55796398,yes
scipy.misc.toimage,72335057,yes
scipy.misc.imsave,50506782,no
scipy.misc.imread,44057140,yes
scipy.misc.imresize,33721988,no
scipy.misc.factorial,35800823,yes
scipy.misc.comb,33468821,yes
scipy.misc.derivative,57035858,no
count_nonzero,59338537,no
cholesky,14408873,yes
scipy.spatial.KDTree,43020919,yes
scipy.stats.mstats.rankdata,52025636,no
scipy.stats.mstats.linregress,38725018,no
scipy.stats.mstats.spearmanr,7039123,no
scipy.stats.mstats.theilslopes,67749851,yes
scipy.fftpack.fft,56788798,no
scipy.sparse.linalg.gmres,27465119,yes
scipy.sparse.linalg.lsqr,55712254,no
scipy.sparse.linalg.splu,53665503,yes
scipy.sparse.linalg.svds,42317259,no
expm,70509924,yes
block_diag,34895970,no
scipy.odr.odr,62460399,yes
scipy.misc.toimage,46855422,yes
scipy.misc.imsave,57253048,no
scipy.misc.imread,49371792,no
scipy.misc.imresize,29734530,yes
scipy.misc.comb,35637223,no
scipy.misc.derivative,43130247,yes
count_nonzero,15719519,yes
cholesky,16699163,yes
scipy.spatial.KDTree,6931209,no
scipy.stats.mstats.linregress,77202688,no
scipy.stats.mstats.spearmanr,55011568,no
scipy.stats.mstats.theilslopes,56500036,yes
scipy.fftpack.fft,52336754,no
scipy.sparse.linalg.lsqr,74394670,yes
scipy.sparse.linalg.splu,53653394,yes
scipy.sparse.linalg.svds,56400788,yes
expm,56578159,no
block_diag,44957372,no
scipy.odr.odr,71139423,yes
scipy.misc.toimage,66293631,yes
scipy.misc.imsave,37484254,yes
scipy.misc.imread,16612293,yes
scipy.misc.imresize,33093317,yes
