id,HAS_API,DISCUSSES_API
30376581,TRUE,TRUE
40219946,TRUE,TRUE
45106398,TRUE,TRUE
35739839,TRUE,TRUE
50816006,TRUE,TRUE
47857782,TRUE,TRUE
30811918,TRUE,TRUE
8955448,TRUE,FALSE
17298129,TRUE,FALSE
12713486,TRUE,FALSE
44697379,TRUE,FALSE
37996295,TRUE,FALSE
8361561,TRUE,FALSE
43925624,TRUE,FALSE
49258553,TRUE,FALSE
30376224,TRUE,FALSE
5314432,TRUE,FALSE
30329726,TRUE,FALSE
23062674,TRUE,FALSE
21322564,TRUE,FALSE
35133317,TRUE,FALSE
35747614,TRUE,FALSE
50623929,TRUE,FALSE
34540585,FALSE,FALSE
13495777,FALSE,FALSE
22315595,FALSE,FALSE
16621351,FALSE,FALSE
16149803,FALSE,FALSE
22821460,FALSE,FALSE
48591451,FALSE,FALSE
26284644,FALSE,FALSE
25460993,FALSE,FALSE
43363388,FALSE,FALSE
19866498,FALSE,FALSE
17352244,FALSE,FALSE
25860499,FALSE,FALSE
53878029,FALSE,FALSE
15454880,FALSE,FALSE
48603119,FALSE,FALSE
17043393,FALSE,FALSE
31342318,FALSE,FALSE
72283998,FALSE,FALSE
10920318,FALSE,FALSE
22776468,FALSE,FALSE
20992822,FALSE,FALSE
20624428,FALSE,FALSE
45927321,FALSE,FALSE
21658676,FALSE,FALSE
17170230,FALSE,FALSE
62245475,FALSE,FALSE
