id,HAS_API,DISCUSSES_API
7989722,TRUE,FALSE
26047560,FALSE,FALSE
57031859,TRUE,FALSE
53310547,TRUE,FALSE
47562201,TRUE,FALSE
15637336,TRUE,TRUE
25264798,FALSE,FALSE
47488506,TRUE,FALSE
18998981,TRUE,FALSE
54140523,TRUE,TRUE
72804712,TRUE,TRUE
34999090,TRUE,FALSE
46126840,TRUE,FALSE
32379895,TRUE,FALSE
39877999,TRUE,TRUE
17137390,FALSE,FALSE
12926898,TRUE,TRUE
22339015,FALSE,FALSE
42349191,TRUE,FALSE
16400979,TRUE,TRUE
51272270,TRUE,TRUE
37104013,FALSE,FALSE
50392879,TRUE,FALSE
47495510,FALSE,FALSE
63595213,FALSE,FALSE
15187355,FALSE,FALSE
5426908,TRUE,FALSE
36378202,FALSE,FALSE
43167413,TRUE,TRUE
45199104,FALSE,FALSE
70145179,TRUE,FALSE
70871669,TRUE,TRUE
41990566,FALSE,FALSE
50916845,TRUE,FALSE
39613884,FALSE,FALSE
65998170,TRUE,TRUE
51744613,FALSE,FALSE
