id,HAS_API,DISCUSSES_API
63220629,TRUE,FALSE
24633618,TRUE,TRUE
40589624,FALSE,FALSE
17784587,FALSE,FALSE
51780178,TRUE,TRUE
57261254,TRUE,FALSE
18991408,TRUE,FALSE
46641453,TRUE,FALSE
38809852,TRUE,TRUE
54685949,FALSE,FALSE
71217690,TRUE,FALSE
48322740,FALSE,FALSE
11993790,TRUE,FALSE
16078818,TRUE,TRUE
46635977,FALSE,FALSE
52306279,FALSE,FALSE
39975050,FALSE,FALSE
39333681,FALSE,FALSE
45776214,TRUE,TRUE
26361007,TRUE,TRUE
27277954,TRUE,TRUE
58629493,TRUE,FALSE
31206443,TRUE,FALSE
23470582,TRUE,FALSE
