,id,DISCUSSES_API,result
0,11869910,False,False
1,18889588,False,False
2,25695986,False,False
3,31498390,False,False
4,32552027,False,False
5,33149428,False,False
6,37265312,False,False
7,38413579,False,False
8,38951345,False,False
9,42921854,False,False
10,43172970,False,False
11,43756052,False,False
12,43821529,False,False
13,50607740,False,False
14,51174691,False,False
15,55204418,False,False
16,20119414,True,True
17,12860421,True,True
18,22412033,True,True
19,23814605,True,True
20,34702815,True,True
21,41474284,False,False
22,46859400,True,True
23,64503929,False,True
24,76891209,False,False
25,76275425,False,True
26,73555758,True,True
27,71775175,False,True
28,70865175,True,True
29,69108694,False,False
30,69008275,True,True
31,66972016,True,True
32,64976121,True,True
33,63239708,False,False
34,62841492,True,True
35,61630255,False,True
36,61620499,True,True
37,60688662,True,True
38,59868363,True,True
39,59811530,True,True
40,59011236,True,True
41,56667958,True,True
42,56359196,True,True
43,55359807,False,True
44,54317109,True,True
45,52870521,True,True
46,52230219,False,False
