Paragraph,Tasks
Bases: object,
"""A processing class for deriving trees that represent possible structures for a sequence of tokens. These tree structures are known as “parses”. Typically, parsers are used to derive syntax trees for sentences. But parsers can also be used to derive other kinds of tree structure, such as morphological trees and discourse structures.""",
"""at least one of: parse(), parse_sents().""",
grammar(),
The grammar used by this parser.,
An iterator that generates parse trees for the sentence.,Generate parse trees
When possible this list is sorted from most likely to least likely.,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
list(Tree),
Tree or None,
Apply self.parse() to each element of sents. :rtype: iter(iter(Tree)),
Bases: nltk.parse.api.ParserI,
Interface for parsing with BLLIP Parser. BllipParser objects can be constructed with the BllipParser.from_unified_model_dir class method or manually using the BllipParser constructor.,
Create a BllipParser object from a unified parsing model directory. Unified parsing model directories are a standardized way of storing BLLIP parser and reranker models together on disk. See bllipparser.RerankingParser.get_unified_model_parameters() for more information about unified model directories.,Create BllipParser
A BllipParser object using the parser and reranker,
models in the model directory.,
model_dir (str) – Path to the unified model directory.,
"""parser_options – optional dictionary of parser options, see""",
"""bllipparser.RerankingParser.RerankingParser.load_parser_options() for more information. :type parser_options: dict(str) :param reranker_options: optional dictionary of reranker options, see bllipparser.RerankingParser.RerankingParser.load_reranker_model() for more information. :type reranker_options: dict(str) :rtype: BllipParser""",
Use BLLIP Parser to parse a sentence. Takes a sentence as a list of words; it will be automatically tagged with this BLLIP Parser instance’s tagger.,Use BLLIP
An iterator that generates parse trees for the sentence,Generate parse trees
from most likely to least likely.,
sentence (list(str)) – The sentence to be parsed,
iter(Tree),
"""Use BLLIP to parse a sentence. Takes a sentence as a list of (word, tag) tuples; the sentence must have already been tokenized and tagged. BLLIP will attempt to use the tags provided but may use others if it can’t come up with a complete parse subject to those constraints. You may also specify a tag as None to leave a token’s tag unconstrained.""","Use BLLIP, Specify tag as None"
An iterator that generates parse trees for the sentence,
from most likely to least likely.,
"""sentence (list(tuple(str, str))) – Input sentence to parse as (word, tag) pairs""",
iter(Tree),
"""Data classes and parser implementations for “chart parsers”, which use dynamic programming to efficiently parse a text. A chart parser derives parse trees for a text by iteratively adding “edges” to a “chart.” Each edge represents a hypothesis about the tree structure for a subsequence of the text. The chart is a “blackboard” for composing and combining these hypotheses.""",
"""When a chart parser begins parsing a text, it creates a new (empty) chart, spanning the text. It then incrementally adds new edges to the chart. A set of “chart rules” specifies the conditions under which new edges should be added to the chart. Once the chart reaches a stage where none of the chart rules adds any new edges, parsing is complete.""",
"""Charts are encoded with the Chart class, and edges are encoded with the TreeEdge and LeafEdge classes. The chart parser module defines three chart parsers:""",
"""ChartParser is a simple and flexible chart parser. Given a set of chart rules, it will apply those rules to the chart until no more edges are added.""",
SteppingChartParser is a subclass of ChartParser that can be used to step through the parsing process.,
Bases: nltk.parse.chart.ChartRuleI,
An abstract base class for chart rules. AbstractChartRule provides:,
A default implementation for apply.,
"""A default implementation for apply_everywhere, (Currently, this implementation assumes that ``NUM_EDGES``<=3.)""",
"""A default implementation for __str__, which returns a name based on the rule’s class name.""",
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges at time, Add edges to chart, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"Pass edges to apply(), specify number of edges"
iter(EdgeI),
"""Return a generator that will add all edges licensed by this rule, given the edges that are currently in the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges, Add new edge"
iter(EdgeI),
Bases: nltk.parse.chart.ChartParser,
A ChartParser using a bottom-up parsing strategy. See ChartParser for more information.,
Bases: nltk.parse.chart.ChartParser,
A ChartParser using a bottom-up left-corner parsing strategy. This strategy is often more efficient than standard bottom-up. See ChartParser for more information.,
Bases: nltk.parse.chart.BottomUpPredictRule,
"""A rule licensing any edge corresponding to a production whose right-hand side begins with a complete edge’s left-hand side. In particular, this rule specifies that [A -> alpha \*] licenses the edge [B -> A \* beta] for each grammar production B -> A beta.""",
"""This is like BottomUpPredictRule, but it also applies the FundamentalRule to the resulting edge.""",
"""Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.""","Add edges, Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,"pass edges to apply(), Specify number of edges"
iter(EdgeI),
Bases: nltk.parse.chart.AbstractChartRule,
