Paragraph,Tasks
"""Recognizes named entities (person and company names, etc.) in text. Principally, this annotator uses one or more machine learning sequence models to label entities, but it may also call specialist rule-based components, such as for labeling and interpreting times and dates. Numerical entities that require normalization, e.g., dates, have their normalized value stored in NormalizedNamedEntityTagAnnotation. For more extensive support for rule-based NER, you may also want to look at the RegexNER annotator. The set of entities recognized is language-dependent, and the recognized set of entities is frequently more limited for other languages than what is described below for English. As the name “NERClassifierCombiner” implies, commonly this annotator will run several named entity recognizers and then combine their results but it can run just a single annotator or only rule-based quantity NER.""","Label entities with machine learning, Label entities with specialist rule-based components"
"""For English, by default, this annotator recognizes named (PERSON, LOCATION, ORGANIZATION, MISC), numerical (MONEY, NUMBER, ORDINAL, PERCENT), and temporal (DATE, TIME, DURATION, SET) entities (12 classes). Adding the regexner annotator and using the supplied RegexNER pattern files adds support for the fine-grained and additional entity classes EMAIL, URL, CITY, STATE_OR_PROVINCE, COUNTRY, NATIONALITY, RELIGION, (job) TITLE, IDEOLOGY, CRIMINAL_CHARGE, CAUSE_OF_DEATH, (Twitter, etc.) HANDLE (12 classes) for a total of 24 classes. Named entities are recognized using a combination of three CRF sequence taggers trained on various corpora, including CoNLL, ACE, MUC, and ERE corpora. Numerical entities are recognized using a rule-based system.""","Recognize named/numerical/temporal entities, Add support for fine-grained and additional entity classes"
The full named entity recognition pipeline has become fairly complex and involves a set of distinct phases integrating statistical and rule based approaches. Here is a breakdown of those distinct phases.,
The main class that runs this process is edu.stanford.nlp.pipeline.NERCombinerAnnotator,
During this phase a series of trained CRF’s will be run on each sentence. These CRF’s are trained on large tagged data sets. They evaluate the entire sequence and pick the optimal tag sequence.,
These are the default models that are run:,
Tags written by one model cannot be overwritten by subsequent models in the series.,
There are two options for how the models are combined. These are selected with the ner.combinationMode property.,
"""So for example, if the ner.combinationMode is set to NORMAL, only the 3-class model’s ORGANIZATION tags will be applied. If it is set to HIGH_RECALL, the 7-class and 4-class models’ ORGANIZATION tags will also be applied.""",
"""If you do not want to run any statistical models, set ner.model to the empty string.""",
Next a series of rule based systems are run to recognize and tag numeric sequences and time related sequences.,
"""This phase runs by default, but can be deactivated by setting ner.applyNumericClassifiers to false.""",Deactivate numerical classifiers
"""This produces tags such as NUMBER, ORDINAL, MONEY, DATE, and TIME""",
The class that runs this phase is edu.stanford.nlp.ie.regexp.NumberSequenceClassifier,
SUTime (described in more detail below) is also used by default. You can deactivate this by setting ner.useSUTime to false.,Deactivate SUTime
