,id,DISCUSSES_API,result
0,40318380,False,False
1,55204418,False,True
2,32552027,True,True
3,30127427,True,True
4,30211923,True,False
5,46775308,True,True
6,42442043,False,False
7,32744558,True,True
8,16319106,False,False
9,19248234,False,True
10,22286930,True,True
11,26879295,True,True
12,31416684,True,True
13,35027279,False,False
14,37215876,False,True
15,37823074,True,False
16,38927585,False,True
17,41983874,False,False
18,42265471,False,True
19,42347173,True,True
20,43057733,True,True
21,43251277,False,True
22,45721456,False,False
23,47053770,True,True
24,48248731,True,True
25,48447147,True,True
26,49410331,False,True
27,49458297,False,True
28,50145702,False,True
29,52356473,True,True
30,53080937,False,True
