Example,Truth functions,Test functions,Linked functions
">>> r = requests.get('https://api.github.com/user', auth=('user', 'pass'))
>>> r.status_code
200
>>> r.headers['content-type']
'application/json; charset=utf8'
>>> r.encoding
'utf-8'
>>> r.text
'{""type"":""User""...'
>>> r.json()
{'private_gists': 419, 'total_private_repos': 77, ...}","['get', 'json']","['get', ('r.json', 'N/A')]",['get']
>>> r = requests.get('https://api.github.com/events'),['get'],['get'],['get']
">>> r = requests.post('https://httpbin.org/post', data={'key': 'value'})",['post'],['post'],['post']
">>> r = requests.put('https://httpbin.org/put', data={'key': 'value'})
>>> r = requests.delete('https://httpbin.org/delete')
>>> r = requests.head('https://httpbin.org/get')
>>> r = requests.options('https://httpbin.org/get')","['put', 'delete', 'head', 'options']","['put', 'delete', 'head', 'options']","['put', 'delete', 'head', 'options']"
">>> payload = {'key1': 'value1', 'key2': 'value2'}
>>> r = requests.get('https://httpbin.org/get', params=payload)",['get'],['get'],['get']
">>> print(r.url)
https://httpbin.org/get?key2=value2&key1=value1",[''],"[('print', 'N/A')]",[]
">>> payload = {'key1': 'value1', 'key2': ['value2', 'value3']}

>>> r = requests.get('https://httpbin.org/get', params=payload)
>>> print(r.url)
https://httpbin.org/get?key1=value1&key2=value2&key2=value3",['get'],"['get', ('print', 'N/A')]",['get']
">>> import requests

>>> r = requests.get('https://api.github.com/events')
>>> r.text
'[{""repository"":{""open_issues"":0,""url"":""https://github.com/...","['get', 'text']",['get'],['get']
">>> from PIL import Image
>>> from io import BytesIO

>>> i = Image.open(BytesIO(r.content))",['content'],"[('Image.open', 'N/A'), ('BytesIO', 'N/A')]",[]
">>> import requests

>>> r = requests.get('https://api.github.com/events')
>>> r.json()
[{'repository': {'open_issues': 0, 'url': 'https://github.com/...","['get', 'json']","['get', ('r.json', 'N/A')]",['get']
">>> r = requests.get('https://api.github.com/events', stream=True)

>>> r.raw


>>> r.raw.read(10)
'\x1f\x8b\x08\x00\x00\x00\x00\x00\x00\x03'",['get'],"['get', ('raw.read', 'N/A')]",['get']
"with open(filename, 'wb') as fd:
    for chunk in r.iter_content(chunk_size=128):
        fd.write(chunk)",['iter_content'],"[('open', 'N/A'), ('r.iter_content', 'N/A'), ('fd.write', 'N/A')]",[]
">>> url = 'https://api.github.com/some/endpoint'
>>> headers = {'user-agent': 'my-app/0.0.1'}

>>> r = requests.get(url, headers=headers)",['get'],['get'],['get']
">>> payload = {'key1': 'value1', 'key2': 'value2'}

>>> r = requests.post(""https://httpbin.org/post"", data=payload)
>>> print(r.text)
{
  ...
  ""form"": {
    ""key2"": ""value2"",
    ""key1"": ""value1""
  },
  ...
}",['post'],"['post', ('print', 'N/A')]",['post']
">>> payload_tuples = [('key1', 'value1'), ('key1', 'value2')]
>>> r1 = requests.post('https://httpbin.org/post', data=payload_tuples)
>>> payload_dict = {'key1': ['value1', 'value2']}
>>> r2 = requests.post('https://httpbin.org/post', data=payload_dict)
>>> print(r1.text)
{
  ...
  ""form"": {
    ""key1"": [
      ""value1"",
      ""value2""
    ]
  },
  ...
}
>>> r1.text == r2.text
True",['post'],"['post', ('print', 'N/A')]",['post']
">>> import json

>>> url = 'https://api.github.com/some/endpoint'
>>> payload = {'some': 'data'}

>>> r = requests.post(url, data=json.dumps(payload))",['post'],"['post', ('json.dumps', 'N/A')]",['post']
">>> r = requests.post(url, json=payload)",['post'],['post'],['post']
">>> url = 'https://httpbin.org/post'
>>> files = {'file': open('report.xls', 'rb')}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": """"
  },
  ...
}","['post', 'text']","[('open', 'N/A'), 'post']",['post']
">>> url = 'https://httpbin.org/post'
>>> files = {'file': ('report.xls', open('report.xls', 'rb'), 'application/vnd.ms-excel', {'Expires': '0'})}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": """"
  },
  ...
}","['post', 'text']","[('open', 'N/A'), 'post']",['post']
