,id,DISCUSSES_API,result
0,31362573,False,False
1,41845773,False,True
2,43173297,False,False
3,46693095,False,True
4,50653962,False,True
5,52092405,False,False
6,65254535,True,False
7,32591466,True,True
8,17834995,True,False
9,22937650,True,True
10,26474693,True,True
11,38560748,True,True
12,49801060,True,True
13,47857112,True,False
14,43367805,True,True
15,47975866,True,True
16,57348149,True,True
17,50695778,True,True
18,54890013,True,True
19,41128526,True,True
20,48977649,True,True
21,47768950,True,True
22,50091272,True,False
23,19760741,True,True
24,38476733,True,True
25,50472696,True,True
26,30765820,True,True
27,59196316,True,True
28,65330288,True,True
29,75382340,True,True
30,21947813,True,True
31,39322930,True,False
32,55239010,True,True
33,45700658,True,True
34,44317615,True,False
35,47234997,True,True
