Example,Extracted Function,Linked Function,Source File,Linked
load(),load,N/A,N/A,N/A
retrieve(),retrieve,N/A,N/A,N/A
write(),write,N/A,N/A,N/A
writestr(),writestr,N/A,N/A,N/A
seek(),seek,N/A,N/A,N/A
tell(),tell,N/A,N/A,N/A
seek(),seek,N/A,N/A,N/A
tell(),tell,N/A,N/A,N/A
seek(),seek,N/A,N/A,N/A
tell(),tell,N/A,N/A,N/A
readline(),readline,N/A,N/A,N/A
read(),read,N/A,N/A,N/A
readline(),readline,N/A,N/A,N/A
tell(),tell,N/A,N/A,N/A
find(),find,N/A,N/A,N/A
load(),load,N/A,N/A,N/A
download(),download,N/A,N/A,N/A
Downloader.default_download_dir(),Downloader.default_download_dir,Downloader.default_download_dir,nltk\nltk\downloader.py,True
download(),download,N/A,N/A,N/A
default_download_dir(),default_download_dir,N/A,N/A,N/A
download(),download,N/A,N/A,N/A
_package_to_columns(),_package_to_columns,N/A,N/A,N/A
unify(),unify,N/A,N/A,N/A
walk(),walk,N/A,N/A,N/A
cyclic(),cyclic,N/A,N/A,N/A
freeze(),freeze,N/A,N/A,N/A
equal_values(),equal_values,N/A,N/A,N/A
freeze(),freeze,N/A,N/A,N/A
copy(),copy,N/A,N/A,N/A
nltk.featstruct.rename_variables(),featstruct.rename_variables,N/A,N/A,N/A
nltk.featstruct.retract_bindings(),featstruct.retract_bindings,N/A,N/A,N/A
nltk.featstruct.substitute_bindings(),featstruct.substitute_bindings,N/A,N/A,N/A
nltk.featstruct.find_variables(),featstruct.find_variables,N/A,N/A,N/A
FreqDist.N(),FreqDist.N,FreqDist.N,nltk\nltk\probability.py,True
FreqDist.B(),FreqDist.B,FreqDist.B,nltk\nltk\probability.py,True
bins-self.B(),self.B,N/A,N/A,N/A
self.B(),self.B,N/A,N/A,N/A
Counter.setdefault(),Counter.setdefault,N/A,N/A,N/A
Counter.update(),Counter.update,N/A,N/A,N/A
self.prob(samp),self.prob,N/A,N/A,N/A
log(p),log,N/A,N/A,N/A
log(2**(logx)+2**(logy)),log,N/A,N/A,N/A
findall(),findall,N/A,N/A,N/A
fields(),fields,N/A,N/A,N/A
decode(),decode,N/A,N/A,N/A
StandardFormat.fields(),StandardFormat.fields,StandardFormat.fields,nltk\nltk\toolbox.py,True
encode(),encode,N/A,N/A,N/A
parents(),parents,N/A,N/A,N/A
parent_indices(),parent_indices,N/A,N/A,N/A
left_siblings(),left_siblings,N/A,N/A,N/A
right_siblings(),right_siblings,N/A,N/A,N/A
parents(),parents,N/A,N/A,N/A
parent_indices(),parent_indices,N/A,N/A,N/A
ptree.parent()[ptree.parent_index()] is ptree,ptree.parent,N/A,N/A,N/A
ptree.parent()[ptree.parent_index()] is ptree,ptree.parent_index,N/A,N/A,N/A
ptree.parent_index(),ptree.parent_index,N/A,N/A,N/A
ptree.parent.index(ptree),parent.index,N/A,N/A,N/A
index(),index,N/A,N/A,N/A
ptree.parent(),ptree.parent,N/A,N/A,N/A
log(p),log,N/A,N/A,N/A
"Tree(label, children)",Tree,__init__,nltk\nltk\tree\tree.py,True
Tree.fromstring(s),Tree.fromstring,Tree.fromstring,nltk\nltk\tree\tree.py,True
tp=self.leaf_treeposition(i),self.leaf_treeposition,N/A,N/A,N/A
self[tp]==self.leaves()[i],self.leaves,N/A,N/A,N/A
self.leaves()[start:end],self.leaves,N/A,N/A,N/A
">>> download('treebank') 
[nltk_data] Downloading package 'treebank'...
[nltk_data]   Unzipping corpora/treebank.zip.
",download,N/A,N/A,N/A
">>> download('all-corpora') 
[nltk_data] Downloading package 'abc'...
[nltk_data]   Unzipping corpora/abc.zip.
[nltk_data] Downloading package 'alpino'...
[nltk_data]   Unzipping corpora/alpino.zip.
  ...
[nltk_data] Downloading package 'words'...
[nltk_data]   Unzipping corpora/words.zip.
",download,N/A,N/A,N/A
">>> from nltk.featstruct import unify
>>> unify(dict(x=1, y=dict()), dict(a='a', y=dict(b='b')))  
{'y': {'b': 'b'}, 'x': 1, 'a': 'a'}
",unify,N/A,N/A,N/A
">>> from nltk.featstruct import unify
>>> unify(dict(x=1, y=dict()), dict(a='a', y=dict(b='b')))  
{'y': {'b': 'b'}, 'x': 1, 'a': 'a'}
",dict,N/A,N/A,N/A
"def handler(s, position, reentrances, match): ...
",handler,N/A,N/A,N/A
">>> from nltk.featstruct import FeatStruct
>>> FeatStruct('[a=?x]').unify(FeatStruct('[b=?x]'))
[a=?x, b=?x2]
",FeatStruct,__init__,nltk\nltk\featstruct.py,True
">>> from nltk.featstruct import FeatStruct
>>> FeatStruct('[a=?x]').unify(FeatStruct('[b=?x]'))
[a=?x, b=?x2]
",unify,N/A,N/A,N/A
">>> from nltk.probability import ConditionalFreqDist
>>> from nltk.tokenize import word_tokenize
>>> sent = ""the the the dog dog some other words that we do not care about""
>>> cfdist = ConditionalFreqDist()
>>> for word in word_tokenize(sent):
...     condition = len(word)
...     cfdist[condition][word] += 1
",ConditionalFreqDist,__init__,nltk\nltk\probability.py,True
">>> from nltk.probability import ConditionalFreqDist
>>> from nltk.tokenize import word_tokenize
>>> sent = ""the the the dog dog some other words that we do not care about""
>>> cfdist = ConditionalFreqDist()
>>> for word in word_tokenize(sent):
...     condition = len(word)
...     cfdist[condition][word] += 1
",word_tokenize,N/A,N/A,N/A
">>> from nltk.probability import ConditionalFreqDist
>>> from nltk.tokenize import word_tokenize
>>> sent = ""the the the dog dog some other words that we do not care about""
>>> cfdist = ConditionalFreqDist()
>>> for word in word_tokenize(sent):
...     condition = len(word)
...     cfdist[condition][word] += 1
",len,N/A,N/A,N/A
">>> cfdist = ConditionalFreqDist((len(word), word) for word in word_tokenize(sent))
",ConditionalFreqDist,__init__,nltk\nltk\probability.py,True
