Code,Signature,Linked,Source File,Page
r.json(),r.json(),Response.json(**kwargs),requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/quickstart/
r.raise_for_status(),r.raise_for_status(),Response.raise_for_status(),requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/quickstart/
Response.raise_for_status(),Response.raise_for_status(),Response.raise_for_status(),requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/quickstart/
raise_for_status(),raise_for_status(),Response.raise_for_status(),requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/quickstart/
Response.raise_for_status(),Response.raise_for_status(),Response.raise_for_status(),requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/quickstart/
requests.get(),requests.get(),"get(url, params=None, **kwargs)",requests/requests/api.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/advanced/
Request.prepare(),Request.prepare(),Request.prepare(),requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/advanced/
Session.prepare_request(),Session.prepare_request(),Session.prepare_request(request),requests/requests/sessions.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/advanced/
Response.iter_content(),Response.iter_content(),"Response.iter_content(chunk_size=1, decode_unicode=False)",requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/advanced/
Response.iter_lines(),Response.iter_lines(),"Response.iter_lines(chunk_size=ITER_CHUNK_SIZE, decode_unicode=False, delimiter=None)",requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/advanced/
Response.iter_content(),Response.iter_content(),"Response.iter_content(chunk_size=1, decode_unicode=False)",requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/advanced/
"(form_field_name, file_info)",,,,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/advanced/
Response.iter_lines(),Response.iter_lines(),"Response.iter_lines(chunk_size=ITER_CHUNK_SIZE, decode_unicode=False, delimiter=None)",requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/advanced/
Response.iter_content(),Response.iter_content(),"Response.iter_content(chunk_size=1, decode_unicode=False)",requests/requests/models.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/advanced/
__call__(),__call__(),,,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/user/authentication/
:   -   Response.__nonzero__ (false if bad HTTP Status),,,,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/community/updates/
"requests.request(method, url, **kwargs)","requests.request(method, url, **kwargs)","request(method, url, **kwargs)",requests/requests/api.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
"requests.head(url, **kwargs)","requests.head(url, **kwargs)","head(url, **kwargs)",requests/requests/api.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
"requests.get(url, params=None, **kwargs)","requests.get(url, params=None, **kwargs)","get(url, params=None, **kwargs)",requests/requests/api.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
"requests.post(url, data=None, json=None, **kwargs)","requests.post(url, data=None, json=None, **kwargs)","post(url, data=None, json=None, **kwargs)",requests/requests/api.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
"requests.put(url, data=None, **kwargs)","requests.put(url, data=None, **kwargs)","put(url, data=None, **kwargs)",requests/requests/api.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
"requests.patch(url, data=None, **kwargs)","requests.patch(url, data=None, **kwargs)","patch(url, data=None, **kwargs)",requests/requests/api.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
"requests.delete(url, **kwargs)","requests.delete(url, **kwargs)","delete(url, **kwargs)",requests/requests/api.py,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
"exception requests.RequestException(*args, **kwargs)",,,,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
"exception requests.ConnectionError(*args, **kwargs)",,,,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
"exception requests.HTTPError(*args, **kwargs)",,,,https://web.archive.org/web/20220505163814/https://docs.python-requests.org/en/latest/api/
