,id,DISCUSSES_API,result
0,50607740,False,False
1,37265312,True,False
2,18889588,True,False
3,31498390,True,False
4,38413579,True,False
5,31888856,False,False
6,28465633,True,False
7,48170405,True,False
8,26724872,False,False
9,29221894,False,False
10,34529542,False,False
11,37381862,True,False
12,39923927,False,False
13,43334222,False,False
14,47127388,False,False
15,50138787,True,False
16,52072821,False,False
17,53002047,False,False
18,53004426,True,False
19,54411582,True,False
20,55520223,False,False
21,55546321,True,False
22,55751906,False,False
23,56099598,False,False
24,56733297,False,False
25,56738267,True,False
26,56742667,True,False
27,56929119,True,False
28,57065878,False,False
29,57950901,False,False
30,58564612,True,False
31,11869910,False,False
32,51174691,False,False
33,33149428,False,False
34,12860421,False,False
35,43172970,False,False
36,38951345,False,False
37,33290374,False,False
38,43821529,False,False
39,16860172,False,False
40,42921854,False,False
41,20119414,False,False
42,43756052,False,False
43,55204418,False,False
44,25695986,False,False
45,32552027,False,False
