,id,DISCUSSES_API,result
0,11869910,False,False
1,18889588,False,False
2,25695986,False,False
3,31498390,False,False
4,32552027,False,False
5,33149428,False,False
6,37265312,False,False
7,38413579,False,False
8,38951345,False,False
9,42921854,False,False
10,43172970,False,False
11,43756052,False,False
12,43821529,False,False
13,50607740,False,False
14,51174691,False,False
15,55204418,False,False
16,20119414,True,False
17,12860421,True,False
18,16860172,True,False
19,33290374,False,False
20,22412033,True,False
21,23814605,True,False
22,34702815,True,False
23,41474284,False,False
24,46859400,True,False
25,64503929,False,False
26,76891209,False,False
27,76275425,False,False
28,73555758,True,False
29,71775175,False,False
30,70865175,True,False
31,69108694,False,False
32,69008275,True,False
33,66972016,True,False
34,64976121,True,False
35,63239708,False,False
36,62841492,True,False
37,61630255,False,False
38,61620499,True,False
39,60688662,True,False
40,59868363,True,False
41,59811530,True,False
42,59011236,True,False
43,56667958,True,False
44,56359196,True,False
45,55359807,False,False
46,54317109,True,False
47,52870521,True,False
48,52230219,False,False
