,id,DISCUSSES_API,result
0,40318380,False,False
1,55204418,False,False
2,32552027,True,False
3,30127427,True,False
4,30211923,True,False
5,46775308,True,False
6,42442043,False,False
7,32744558,True,False
8,16319106,False,False
9,19248234,False,False
10,22286930,True,False
11,26879295,True,False
12,31416684,True,False
13,35027279,False,False
14,37215876,False,False
15,37823074,True,False
16,38927585,False,False
17,41983874,False,False
18,42265471,False,False
19,42347173,True,False
20,43057733,True,False
21,43251277,False,False
22,45721456,False,False
23,47053770,True,False
24,48248731,True,False
25,48447147,True,False
26,49410331,False,False
27,49458297,False,False
28,50145702,False,False
29,52356473,True,False
30,53080937,False,False
