Paragraph,Ground Truth link,Program link,Has Tasks,Partial ratio
To install a wheel from PyPI:,"pip install --upgrade ""pip>=20.3"" # manylinux_x_y, universal2 wheel support
pip install --upgrade orjson","pip install --upgrade ""pip>=20.3"" # manylinux_x_y, universal2 wheel support
pip install --upgrade orjson",TRUE,100
"This is an example of serializing, with options specified, and deserializing:",">>> import orjson, datetime, numpy
>>> data = {
    ""type"": ""job"",
    ""created_at"": datetime.datetime(1970, 1, 1),
    ""status"": ""🆗"",
    ""payload"": numpy.array([[1, 2], [3, 4]]),
}
>>> orjson.dumps(data, option=orjson.opt_naive_utc | orjson.opt_serialize_numpy)
b'{""type"":""job"",""created_at"":""1970-01-01t00:00:00+00:00"",""status"":""\xf0\x9f\x86\x97"",""payload"":[[1,2],[3,4]]}'
>>> orjson.loads(_)
{'type': 'job', 'created_at': '1970-01-01t00:00:00+00:00', 'status': '🆗', 'payload': [[1, 2], [3, 4]]}",">>> import orjson, datetime, numpy
>>> data = {
    ""type"": ""job"",
    ""created_at"": datetime.datetime(1970, 1, 1),
    ""status"": ""🆗"",
    ""payload"": numpy.array([[1, 2], [3, 4]]),
}
>>> orjson.dumps(data, option=orjson.opt_naive_utc | orjson.opt_serialize_numpy)
b'{""type"":""job"",""created_at"":""1970-01-01t00:00:00+00:00"",""status"":""\xf0\x9f\x86\x97"",""payload"":[[1,2],[3,4]]}'
>>> orjson.loads(_)
{'type': 'job', 'created_at': '1970-01-01t00:00:00+00:00', 'status': '🆗', 'payload': [[1, 2], [3, 4]]}",TRUE,100
"To serialize a subclass or arbitrary types, specify default as a callable that returns a supported type. default may be a function, lambda, or callable class instance. To specify that a type was not handled by default, raise an exception such as TypeError.",">>> import orjson, decimal
>>>
def default(obj):
    if isinstance(obj, decimal.decimal):
        return str(obj)
    raise typeerror

>>> orjson.dumps(decimal.decimal(""0.0842389659712649442845""))
jsonencodeerror: type is not json serializable: decimal.decimal
>>> orjson.dumps(decimal.decimal(""0.0842389659712649442845""), default=default)
b'""0.0842389659712649442845""'
>>> orjson.dumps({1, 2}, default=default)
orjson.jsonencodeerror: type is not json serializable: set",">>> import orjson, decimal
>>>
def default(obj):
    if isinstance(obj, decimal.decimal):
        return str(obj)
    raise typeerror

>>> orjson.dumps(decimal.decimal(""0.0842389659712649442845""))
jsonencodeerror: type is not json serializable: decimal.decimal
>>> orjson.dumps(decimal.decimal(""0.0842389659712649442845""), default=default)
b'""0.0842389659712649442845""'
>>> orjson.dumps({1, 2}, default=default)
orjson.jsonencodeerror: type is not json serializable: set",TRUE,100
"It is important that default raise an exception if a type cannot be handled. Python otherwise implicitly returns None, which appears to the caller like a legitimate value and is serialized:",">>> import orjson, json, rapidjson
>>>
def default(obj):
    if isinstance(obj, decimal.decimal):
        return str(obj)

>>> orjson.dumps({""set"":{1, 2}}, default=default)
b'{""set"":null}'
>>> json.dumps({""set"":{1, 2}}, default=default)
'{""set"":null}'
>>> rapidjson.dumps({""set"":{1, 2}}, default=default)
'{""set"":null}'",">>> import orjson, json, rapidjson
>>>
def default(obj):
    if isinstance(obj, decimal.decimal):
        return str(obj)

>>> orjson.dumps({""set"":{1, 2}}, default=default)
b'{""set"":null}'
>>> json.dumps({""set"":{1, 2}}, default=default)
'{""set"":null}'
>>> rapidjson.dumps({""set"":{1, 2}}, default=default)
'{""set"":null}'",TRUE,100
Serialize datetime.datetime objects without a tzinfo as UTC. This has no effect on datetime.datetime objects that have tzinfo set.,">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0),
    )
b'""1970-01-01t00:00:00""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0),
        option=orjson.opt_naive_utc,
    )
b'""1970-01-01t00:00:00+00:00""'",">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0),
    )
b'""1970-01-01t00:00:00""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0),
        option=orjson.opt_naive_utc,
    )
b'""1970-01-01t00:00:00+00:00""'",TRUE,100
"Serialize dict keys of type other than str. This allows dict keys to be one of str, int, float, bool, None, datetime.datetime, datetime.date, datetime.time, enum.Enum, and uuid.UUID. For comparison, the standard library serializes str, int, float, bool or None by default. orjson benchmarks as being faster at serializing non-str keys than other libraries. This option is slower for str keys than the default.",">>> import orjson, datetime, uuid
>>> orjson.dumps(
        {uuid.uuid(""7202d115-7ff3-4c81-a7c1-2a1f067b1ece""): [1, 2, 3]},
        option=orjson.opt_non_str_keys,
    )
b'{""7202d115-7ff3-4c81-a7c1-2a1f067b1ece"":[1,2,3]}'
>>> orjson.dumps(
        {datetime.datetime(1970, 1, 1, 0, 0, 0): [1, 2, 3]},
        option=orjson.opt_non_str_keys | orjson.opt_naive_utc,
    )
b'{""1970-01-01t00:00:00+00:00"":[1,2,3]}'",">>> import orjson, datetime, uuid
>>> orjson.dumps(
        {uuid.uuid(""7202d115-7ff3-4c81-a7c1-2a1f067b1ece""): [1, 2, 3]},
        option=orjson.opt_non_str_keys,
    )
b'{""7202d115-7ff3-4c81-a7c1-2a1f067b1ece"":[1,2,3]}'
>>> orjson.dumps(
        {datetime.datetime(1970, 1, 1, 0, 0, 0): [1, 2, 3]},
        option=orjson.opt_non_str_keys | orjson.opt_naive_utc,
    )
b'{""1970-01-01t00:00:00+00:00"":[1,2,3]}'",TRUE,100
Passthrough dataclasses.dataclass instances to default. This allows customizing their output but is much slower.,">>> import orjson, dataclasses
>>>
@dataclasses.dataclass
class user:
    id: str
    name: str
    password: str

def default(obj):
    if isinstance(obj, user):
        return {""id"": obj.id, ""name"": obj.name}
    raise typeerror

>>> orjson.dumps(user(""3b1"", ""asd"", ""zxc""))
b'{""id"":""3b1"",""name"":""asd"",""password"":""zxc""}'
>>> orjson.dumps(user(""3b1"", ""asd"", ""zxc""), option=orjson.opt_passthrough_dataclass)
typeerror: type is not json serializable: user
>>> orjson.dumps(
        user(""3b1"", ""asd"", ""zxc""),
        option=orjson.opt_passthrough_dataclass,
        default=default,
    )
b'{""id"":""3b1"",""name"":""asd""}'",">>> import orjson, dataclasses
>>>
@dataclasses.dataclass
class user:
    id: str
    name: str
    password: str

def default(obj):
    if isinstance(obj, user):
        return {""id"": obj.id, ""name"": obj.name}
    raise typeerror

>>> orjson.dumps(user(""3b1"", ""asd"", ""zxc""))
b'{""id"":""3b1"",""name"":""asd"",""password"":""zxc""}'
>>> orjson.dumps(user(""3b1"", ""asd"", ""zxc""), option=orjson.opt_passthrough_dataclass)
typeerror: type is not json serializable: user
>>> orjson.dumps(
        user(""3b1"", ""asd"", ""zxc""),
        option=orjson.opt_passthrough_dataclass,
        default=default,
    )
b'{""id"":""3b1"",""name"":""asd""}'",TRUE,100
