Example,Signature,Extracted,Linked
r.json(),['r.json()'],"[((None, []), ['N/A'])]",[]
r.raise_for_status(),['r.raise_for_status()'],"[((None, []), ['N/A'])]",[]
Response.raise_for_status(),"['Response.raise_for_status()', 'Response.raise_for_status()']","[((None, []), ['N/A'])]",[]
raise_for_status(),"['raise_for_status()', 'raise_for_status()', 'raise_for_status()']","[((None, []), ['N/A'])]",[]
requests.get(),['requests.get()'],"[((None, []), ['N/A'])]",[]
Request.prepare(),['Request.prepare()'],"[((None, []), ['N/A'])]",[]
Session.prepare_request(),['Session.prepare_request()'],"[((None, []), ['N/A'])]",[]
Response.iter_content(),"['Response.iter_content()', 'Response.iter_content()', 'Response.iter_content()']","[((None, []), ['N/A'])]",[]
Response.iter_lines(),"['Response.iter_lines()', 'Response.iter_lines()']","[((None, []), ['N/A'])]",[]
"(form_field_name, file_info)",[''],"[((None, []), ['N/A'])]",[]
__call__(),['__call__()'],"[((None, []), ['N/A'])]",[]
:   -   Response.__nonzero__ (false if bad HTTP Status),[''],"[((None, []), ['N/A'])]",[]
"requests.request(method, url, **kwargs)","['requests.request(method, url, **kwargs)', 'requests.request(method, url, **kwargs)']","[('requests.request', ['url', 'method', 'kwargs'])]",[]
"requests.head(url, **kwargs)","['requests.head(url, **kwargs)', 'requests.head(url, **kwargs)']","[('requests.head', ['url', 'kwargs'])]",[]
"requests.get(url, params=None, **kwargs)","['requests.get(url, params=None, **kwargs)', 'requests.get(url, params=None, **kwargs)']","[('requests.get', ['url', 'params', 'kwargs'])]",[]
"requests.post(url, data=None, json=None, **kwargs)","['requests.post(url, data=None, json=None, **kwargs)', 'requests.post(url, data=None, json=None, **kwargs)']","[('requests.post', ['url', 'json', 'data', 'kwargs'])]",[]
"requests.put(url, data=None, **kwargs)","['requests.put(url, data=None, **kwargs)', 'requests.put(url, data=None, **kwargs)']","[('requests.put', ['url', 'data', 'kwargs'])]",[]
"requests.patch(url, data=None, **kwargs)","['requests.patch(url, data=None, **kwargs)', 'requests.patch(url, data=None, **kwargs)']","[('requests.patch', ['url', 'data', 'kwargs'])]",[]
"requests.delete(url, **kwargs)","['requests.delete(url, **kwargs)', 'requests.delete(url, **kwargs)']","[('requests.delete', ['url', 'kwargs'])]",[]
"exception requests.RequestException(*args, **kwargs)","['', '']","[('RequestException.__init__', ['kwargs'])]",[]
"exception requests.ConnectionError(*args, **kwargs)","['', '']","[(('requests.ConnectionError', ['args', 'kwargs']), ['N/A'])]",[]
"exception requests.HTTPError(*args, **kwargs)","['', '']","[(('requests.HTTPError', ['args', 'kwargs']), ['N/A'])]",[]
"exception requests.URLRequired(*args, **kwargs)","['', '']","[(('requests.URLRequired', ['args', 'kwargs']), ['N/A'])]",[]
"exception requests.TooManyRedirects(*args, **kwargs)","['', '']","[(('requests.TooManyRedirects', ['args', 'kwargs']), ['N/A'])]",[]
"exception requests.ConnectTimeout(*args, **kwargs)","['', '']","[(('requests.ConnectTimeout', ['args', 'kwargs']), ['N/A'])]",[]
"exception requests.ReadTimeout(*args, **kwargs)","['', '']","[(('requests.ReadTimeout', ['args', 'kwargs']), ['N/A'])]",[]
"exception requests.Timeout(*args, **kwargs)","['', '']","[(('requests.Timeout', ['args', 'kwargs']), ['N/A'])]",[]
close(),"['close()', 'close()', 'close()', 'close()', 'close()', 'close()', 'close()', 'close()']","[((None, []), ['N/A'])]",[]
"delete(url, **kwargs)","['delete(url, **kwargs)', 'delete(url, **kwargs)']","[(('delete', ['url', 'kwargs']), [('requests.delete', ['url', 'kwargs']), ('Session.delete', ['url', 'kwargs'])])]",[]
"get(url, **kwargs)","['get(url, **kwargs)', 'get(url, **kwargs)']","[(('get', ['url', 'kwargs']), [('requests.get', ['url', 'params', 'kwargs']), ('Session.get', ['url', 'kwargs'])])]",[]
get_adapter(url),"['get_adapter(url)', 'get_adapter(url)']","[('Session.get_adapter', ['url'])]",[]
get_redirect_target(resp),"['get_redirect_target(resp)', 'get_redirect_target(resp)']","[('SessionRedirectMixin.get_redirect_target', ['resp'])]",[]
"head(url, **kwargs)","['head(url, **kwargs)', 'head(url, **kwargs)']","[(('head', ['url', 'kwargs']), [('requests.head', ['url', 'kwargs']), ('Session.head', ['url', 'kwargs'])])]",[]
"merge_environment_settings(url, proxies, stream, verify, cert)","['merge_environment_settings(url, proxies, stream, verify, cert)', 'merge_environment_settings(url, proxies, stream, verify, cert)']","[('Session.merge_environment_settings', ['cert', 'verify', 'stream', 'proxies', 'url'])]","[('Session.merge_environment_settings', ['cert', 'verify', 'stream', 'proxies', 'url']), ('Session.merge_environment_settings', ['cert', 'verify', 'stream', 'proxies', 'url'])]"
"mount(prefix, adapter)","['mount(prefix, adapter)', 'mount(prefix, adapter)']","[('Session.mount', ['adapter', 'prefix'])]","[('Session.mount', ['adapter', 'prefix']), ('Session.mount', ['adapter', 'prefix'])]"
"options(url, **kwargs)","['options(url, **kwargs)', 'options(url, **kwargs)']","[(('options', ['url', 'kwargs']), [('requests.options', ['url', 'kwargs']), ('Session.options', ['url', 'kwargs'])])]",[]
"patch(url, data=None, **kwargs)","['patch(url, data=None, **kwargs)', 'patch(url, data=None, **kwargs)']","[(('patch', ['url', 'data', 'kwargs']), [('requests.patch', ['url', 'data', 'kwargs']), ('Session.patch', ['url', 'data', 'kwargs'])])]",[]
"post(url, data=None, json=None, **kwargs)","['post(url, data=None, json=None, **kwargs)', 'post(url, data=None, json=None, **kwargs)']","[(('post', ['url', 'data', 'json', 'kwargs']), [('requests.post', ['url', 'json', 'data', 'kwargs']), ('Session.post', ['url', 'json', 'data', 'kwargs'])])]",[]
prepare_request(request),"['prepare_request(request)', 'prepare_request(request)']","[('Session.prepare_request', ['request'])]","[('Session.prepare_request', ['request']), ('Session.prepare_request', ['request'])]"
"put(url, data=None, **kwargs)","['put(url, data=None, **kwargs)', 'put(url, data=None, **kwargs)']","[(('put', ['url', 'data', 'kwargs']), [('requests.put', ['url', 'data', 'kwargs']), ('Session.put', ['url', 'data', 'kwargs'])])]",[]
"rebuild_auth(prepared_request, response)","['rebuild_auth(prepared_request, response)', 'rebuild_auth(prepared_request, response)']","[('SessionRedirectMixin.rebuild_auth', ['response', 'prepared_request'])]","[('SessionRedirectMixin.rebuild_auth', ['response', 'prepared_request']), ('SessionRedirectMixin.rebuild_auth', ['response', 'prepared_request'])]"
"rebuild_method(prepared_request, response)","['rebuild_method(prepared_request, response)', 'rebuild_method(prepared_request, response)']","[('SessionRedirectMixin.rebuild_method', ['response', 'prepared_request'])]","[('SessionRedirectMixin.rebuild_method', ['response', 'prepared_request']), ('SessionRedirectMixin.rebuild_method', ['response', 'prepared_request'])]"
"rebuild_proxies(prepared_request, proxies)","['rebuild_proxies(prepared_request, proxies)', 'rebuild_proxies(prepared_request, proxies)']","[('SessionRedirectMixin.rebuild_proxies', ['proxies', 'prepared_request'])]","[('SessionRedirectMixin.rebuild_proxies', ['proxies', 'prepared_request']), ('SessionRedirectMixin.rebuild_proxies', ['proxies', 'prepared_request'])]"
"request(method, url, params=None, data=None, headers=None, cookies=None, files=None, auth=None, timeout=None, allow_redirects=True, proxies=None, hooks=None, stream=None, verify=None, cert=None, json=None)","['request(method, url, params=None, data=None, headers=None, cookies=None, files=None, auth=None, timeout=None, allow_redirects=True, proxies=None, hooks=None, stream=None, verify=None, cert=None, json=None)', 'request(method, url, params=None, data=None, headers=None, cookies=None, files=None, auth=None, timeout=None, allow_redirects=True, proxies=None, hooks=None, stream=None, verify=None, cert=None, json=None)']","[('Session.request', ['url', 'method', 'json', 'cert', 'verify', 'stream', 'hooks', 'proxies', 'allow_redirects', 'timeout', 'auth', 'files', 'cookies', 'headers', 'data', 'params'])]",[]
"resolve_redirects(resp, req, stream=False, timeout=None, verify=True, cert=None, proxies=None, yield_requests=False, **adapter_kwargs)","['resolve_redirects(resp, req, stream=False, timeout=None, verify=True, cert=None, proxies=None, yield_requests=False, **adapter_kwargs)', 'resolve_redirects(resp, req, stream=False, timeout=None, verify=True, cert=None, proxies=None, yield_requests=False, **adapter_kwargs)']","[('SessionRedirectMixin.resolve_redirects', ['req', 'resp', 'yield_requests', 'proxies', 'cert', 'verify', 'timeout', 'stream', 'adapter_kwargs'])]",[]
"send(request, **kwargs)","['send(request, **kwargs)', 'send(request, **kwargs)']","[('Session.send', ['request', 'kwargs'])]",[]
"should_strip_auth(old_url, new_url)","['should_strip_auth(old_url, new_url)', 'should_strip_auth(old_url, new_url)']","[('SessionRedirectMixin.should_strip_auth', ['new_url', 'old_url'])]","[('SessionRedirectMixin.should_strip_auth', ['new_url', 'old_url']), ('SessionRedirectMixin.should_strip_auth', ['new_url', 'old_url'])]"
"class requests.Request(method=None, url=None, headers=None, files=None, data=None, params=None, auth=None, cookies=None, hooks=None, json=None)","['', '']","[('Request.__init__', ['json', 'hooks', 'cookies', 'auth', 'params', 'data', 'files', 'headers', 'url', 'method'])]",[]
"deregister_hook(event, hook)","['deregister_hook(event, hook)', 'deregister_hook(event, hook)', 'deregister_hook(event, hook)', 'deregister_hook(event, hook)']","[('RequestHooksMixin.deregister_hook', ['hook', 'event'])]","[('RequestHooksMixin.deregister_hook', ['hook', 'event']), ('RequestHooksMixin.deregister_hook', ['hook', 'event']), ('RequestHooksMixin.deregister_hook', ['hook', 'event']), ('RequestHooksMixin.deregister_hook', ['hook', 'event'])]"
prepare(),"['prepare()', 'prepare()']","[((None, []), ['N/A'])]",[]
"register_hook(event, hook)","['register_hook(event, hook)', 'register_hook(event, hook)', 'register_hook(event, hook)', 'register_hook(event, hook)']","[('RequestHooksMixin.register_hook', ['hook', 'event'])]","[('RequestHooksMixin.register_hook', ['hook', 'event']), ('RequestHooksMixin.register_hook', ['hook', 'event']), ('RequestHooksMixin.register_hook', ['hook', 'event']), ('RequestHooksMixin.register_hook', ['hook', 'event'])]"
"iter_content(chunk_size=1, decode_unicode=False)","['iter_content(chunk_size=1, decode_unicode=False)', 'iter_content(chunk_size=1, decode_unicode=False)']","[('Response.iter_content', ['decode_unicode', 'chunk_size'])]",[]
"iter_lines(chunk_size=512, decode_unicode=False, delimiter=None)","['iter_lines(chunk_size=512, decode_unicode=False, delimiter=None)', 'iter_lines(chunk_size=512, decode_unicode=False, delimiter=None)']","[('Response.iter_lines', ['delimiter', 'decode_unicode', 'chunk_size'])]",[]
json(**kwargs),"['json(**kwargs)', 'json(**kwargs)']","[('Response.json', ['kwargs'])]",[]
"prepare(method=None, url=None, headers=None, files=None, data=None, params=None, auth=None, cookies=None, hooks=None, json=None)","['prepare(method=None, url=None, headers=None, files=None, data=None, params=None, auth=None, cookies=None, hooks=None, json=None)', 'prepare(method=None, url=None, headers=None, files=None, data=None, params=None, auth=None, cookies=None, hooks=None, json=None)']","[('PreparedRequest.prepare', ['json', 'hooks', 'cookies', 'auth', 'params', 'data', 'files', 'headers', 'url', 'method'])]",[]
"prepare_auth(auth, url='')","[""prepare_auth(auth, url='')"", ""prepare_auth(auth, url='')""]","[('PreparedRequest.prepare_auth', ['auth', 'url'])]",[]
"prepare_body(data, files, json=None)","['prepare_body(data, files, json=None)', 'prepare_body(data, files, json=None)']","[('PreparedRequest.prepare_body', ['files', 'data', 'json'])]",[]
prepare_content_length(body),"['prepare_content_length(body)', 'prepare_content_length(body)']","[('PreparedRequest.prepare_content_length', ['body'])]","[('PreparedRequest.prepare_content_length', ['body']), ('PreparedRequest.prepare_content_length', ['body'])]"
prepare_cookies(cookies),"['prepare_cookies(cookies)', 'prepare_cookies(cookies)']","[('PreparedRequest.prepare_cookies', ['cookies'])]","[('PreparedRequest.prepare_cookies', ['cookies']), ('PreparedRequest.prepare_cookies', ['cookies'])]"
prepare_headers(headers),"['prepare_headers(headers)', 'prepare_headers(headers)']","[('PreparedRequest.prepare_headers', ['headers'])]","[('PreparedRequest.prepare_headers', ['headers']), ('PreparedRequest.prepare_headers', ['headers'])]"
prepare_hooks(hooks),"['prepare_hooks(hooks)', 'prepare_hooks(hooks)']","[('PreparedRequest.prepare_hooks', ['hooks'])]","[('PreparedRequest.prepare_hooks', ['hooks']), ('PreparedRequest.prepare_hooks', ['hooks'])]"
prepare_method(method),"['prepare_method(method)', 'prepare_method(method)']","[('PreparedRequest.prepare_method', ['method'])]","[('PreparedRequest.prepare_method', ['method']), ('PreparedRequest.prepare_method', ['method'])]"
"prepare_url(url, params)","['prepare_url(url, params)', 'prepare_url(url, params)']","[('PreparedRequest.prepare_url', ['params', 'url'])]","[('PreparedRequest.prepare_url', ['params', 'url']), ('PreparedRequest.prepare_url', ['params', 'url'])]"
"send(request, stream=False, timeout=None, verify=True, cert=None, proxies=None)","['send(request, stream=False, timeout=None, verify=True, cert=None, proxies=None)', 'send(request, stream=False, timeout=None, verify=True, cert=None, proxies=None)', 'send(request, stream=False, timeout=None, verify=True, cert=None, proxies=None)', 'send(request, stream=False, timeout=None, verify=True, cert=None, proxies=None)']","[(('send', ['request', 'stream', 'timeout', 'verify', 'cert', 'proxies']), [('BaseAdapter.send', ['request', 'proxies', 'cert', 'verify', 'timeout', 'stream']), ('HTTPAdapter.send', ['request', 'proxies', 'cert', 'verify', 'timeout', 'stream'])])]",[]
"class requests.adapters.HTTPAdapter(pool_connections=10, pool_maxsize=10, max_retries=0, pool_block=False)","['', '']","[('HTTPAdapter.__init__', ['pool_block', 'max_retries', 'pool_maxsize', 'pool_connections'])]",[]
"add_headers(request, **kwargs)","['add_headers(request, **kwargs)', 'add_headers(request, **kwargs)']","[('HTTPAdapter.add_headers', ['request', 'kwargs'])]",[]
"build_response(req, resp)","['build_response(req, resp)', 'build_response(req, resp)']","[('HTTPAdapter.build_response', ['resp', 'req'])]","[('HTTPAdapter.build_response', ['resp', 'req']), ('HTTPAdapter.build_response', ['resp', 'req'])]"
