Example,Signature,Extracted,Linked
"get(name_or_path, default=None)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('FeatDict.get', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': ['default']})"", ""('FeatDict.get', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': ['default']})"", ""('FeatDict.get', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': ['default']})"", ""('FeatDict.get', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': ['default']})""]",[]
has_key(name_or_path),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('FeatDict.has_key', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': []})"", ""('FeatDict.has_key', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': []})"", ""('FeatDict.has_key', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': []})"", ""('FeatDict.has_key', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['name_or_path'], 'opt_args': []})""]",[]
"pop(k[, d]) → v, remove specified key and return the corresponding value.","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"popitem(*args, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"setdefault(*args, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"update([E, ]**F) → None.  Update D from dict/iterable E and F.","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","['N/A', 'N/A']",[]
"class nltk.featstruct.FeatList(features=None, **morefeatures)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","[""('FeatList.__init__', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['features']})"", ""('FeatList.__init__', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['features']})""]",[]
"append(*args, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"extend(*args, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"insert(*args, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"pop(*args, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"remove(*args, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"reverse(*args, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"sort(*args, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"class nltk.featstruct.FeatStruct(features=None, **morefeatures)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","[""['FeatStruct.__init__']"", ""['FeatStruct.__init__']""]",[]
copy(deep=True),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('FeatStruct.copy', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['deep']}), ('ImmutableProbabilisticTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\immutable.py', 'req_args': [], 'opt_args': ['deep']}), ('ParentedTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parented.py', 'req_args': [], 'opt_args': ['deep']}), ('ProbabilisticTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\probabilistic.py', 'req_args': [], 'opt_args': ['deep']}), ('Tree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['deep']})]"", ""[('FeatStruct.copy', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['deep']}), ('ImmutableProbabilisticTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\immutable.py', 'req_args': [], 'opt_args': ['deep']}), ('ParentedTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parented.py', 'req_args': [], 'opt_args': ['deep']}), ('ProbabilisticTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\probabilistic.py', 'req_args': [], 'opt_args': ['deep']}), ('Tree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['deep']})]"", ""[('FeatStruct.copy', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['deep']}), ('ImmutableProbabilisticTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\immutable.py', 'req_args': [], 'opt_args': ['deep']}), ('ParentedTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parented.py', 'req_args': [], 'opt_args': ['deep']}), ('ProbabilisticTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\probabilistic.py', 'req_args': [], 'opt_args': ['deep']}), ('Tree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['deep']})]"", ""[('FeatStruct.copy', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['deep']}), ('ImmutableProbabilisticTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\immutable.py', 'req_args': [], 'opt_args': ['deep']}), ('ParentedTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parented.py', 'req_args': [], 'opt_args': ['deep']}), ('ProbabilisticTree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\probabilistic.py', 'req_args': [], 'opt_args': ['deep']}), ('Tree.copy', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['deep']})]""]",[]
cyclic(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"equal_values(other, check_reentrance=False)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('FeatStruct.equal_values', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': ['check_reentrance']})"", ""('FeatStruct.equal_values', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': ['check_reentrance']})"", ""('FeatStruct.equal_values', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': ['check_reentrance']})"", ""('FeatStruct.equal_values', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': ['check_reentrance']})""]",[]
freeze(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
frozen(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
remove_variables(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"rename_variables(vars=None, used_vars=(), new_vars=None)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('FeatStruct.rename_variables', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['new_vars', 'used_vars', 'vars']}), ('nltk.rename_variables', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['fstruct'], 'opt_args': ['fs_class', 'new_vars', 'used_vars', 'vars']})]"", ""[('FeatStruct.rename_variables', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['new_vars', 'used_vars', 'vars']}), ('nltk.rename_variables', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['fstruct'], 'opt_args': ['fs_class', 'new_vars', 'used_vars', 'vars']})]"", ""[('FeatStruct.rename_variables', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['new_vars', 'used_vars', 'vars']}), ('nltk.rename_variables', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['fstruct'], 'opt_args': ['fs_class', 'new_vars', 'used_vars', 'vars']})]"", ""[('FeatStruct.rename_variables', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': [], 'opt_args': ['new_vars', 'used_vars', 'vars']}), ('nltk.rename_variables', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['fstruct'], 'opt_args': ['fs_class', 'new_vars', 'used_vars', 'vars']})]""]",[]
retract_bindings(bindings),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('FeatStruct.retract_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.retract_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']})]"", ""[('FeatStruct.retract_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.retract_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']})]"", ""[('FeatStruct.retract_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.retract_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']})]"", ""[('FeatStruct.retract_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.retract_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']})]""]",[]
substitute_bindings(bindings),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('FeatStruct.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']}), ('SubstituteBindingsSequence.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('Clause.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\inference\\\\resolution.py', 'req_args': ['bindings'], 'opt_args': []}), ('Variable.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('SubstituteBindingsI.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('Expression.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []})]"", ""[('FeatStruct.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']}), ('SubstituteBindingsSequence.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('Clause.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\inference\\\\resolution.py', 'req_args': ['bindings'], 'opt_args': []}), ('Variable.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('SubstituteBindingsI.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('Expression.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []})]"", ""[('FeatStruct.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']}), ('SubstituteBindingsSequence.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('Clause.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\inference\\\\resolution.py', 'req_args': ['bindings'], 'opt_args': []}), ('Variable.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('SubstituteBindingsI.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('Expression.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []})]"", ""[('FeatStruct.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('nltk.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings', 'fstruct'], 'opt_args': ['fs_class']}), ('SubstituteBindingsSequence.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['bindings'], 'opt_args': []}), ('Clause.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\inference\\\\resolution.py', 'req_args': ['bindings'], 'opt_args': []}), ('Variable.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('SubstituteBindingsI.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []}), ('Expression.substitute_bindings', {'source_file': 'nltk\\\\nltk\\\\sem\\\\logic.py', 'req_args': ['bindings'], 'opt_args': []})]""]",[]
subsumes(other),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('FeatStruct.subsumes', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': []}), ('Clause.subsumes', {'source_file': 'nltk\\\\nltk\\\\inference\\\\resolution.py', 'req_args': ['other'], 'opt_args': []})]"", ""[('FeatStruct.subsumes', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': []}), ('Clause.subsumes', {'source_file': 'nltk\\\\nltk\\\\inference\\\\resolution.py', 'req_args': ['other'], 'opt_args': []})]"", ""[('FeatStruct.subsumes', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': []}), ('Clause.subsumes', {'source_file': 'nltk\\\\nltk\\\\inference\\\\resolution.py', 'req_args': ['other'], 'opt_args': []})]"", ""[('FeatStruct.subsumes', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': []}), ('Clause.subsumes', {'source_file': 'nltk\\\\nltk\\\\inference\\\\resolution.py', 'req_args': ['other'], 'opt_args': []})]""]",[]
"unify(other, bindings=None, trace=False, fail=None, rename_vars=True)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('FeatStruct.unify', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': ['rename_vars', 'fail', 'trace', 'bindings']})"", ""('FeatStruct.unify', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': ['rename_vars', 'fail', 'trace', 'bindings']})"", ""('FeatStruct.unify', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': ['rename_vars', 'fail', 'trace', 'bindings']})"", ""('FeatStruct.unify', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['other'], 'opt_args': ['rename_vars', 'fail', 'trace', 'bindings']})""]",[]
variables(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
walk(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"class nltk.featstruct.FeatStructReader(features=(*slash*, *type*), fdict_class= 'nltk.featstruct.FeatStruct'>, flist_class= 'nltk.featstruct.FeatList'>, logic_parser=None)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","['N/A', 'N/A']",[]
"VALUE_HANDLERS = [('read_fstruct_value', re.compile('\\s*(?:\\((\\d+)\\)\\s*)?(\\??[\\w-]+)?(\\[)')), ('read_var_value', re.compile('\\?[a-zA-Z_][a-zA-Z0-9_]*')), ('read_str_value', re.compile('[uU]?[rR]?([\'""])')), ('read_int_value', re.compile('-?\\d+')), ('read_sym_value', re.compile('[a-zA-Z_][a-zA-Z0-9_]*')), ('read_app_value', re.compile('<(app)\\((\\?[a-z][a-z]*)\\s*,\\s*(\\?[a-z][a-z]*)\\)>')), ('read_logic_value', re.compile('<(.*?)(?')), ('read_set_value', re.compile('{')), ('read_tuple_value', re.compile('\\('))]","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"fromstring(s, fstruct=None)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('FeatStructReader.fromstring', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['s'], 'opt_args': ['fstruct']})"", ""('FeatStructReader.fromstring', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['s'], 'opt_args': ['fstruct']})"", ""('FeatStructReader.fromstring', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['s'], 'opt_args': ['fstruct']})"", ""('FeatStructReader.fromstring', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['s'], 'opt_args': ['fstruct']})""]",[]
"read_app_value(s, position, reentrances, match)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('FeatStructReader.read_app_value', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})"", ""('FeatStructReader.read_app_value', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})"", ""('FeatStructReader.read_app_value', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})"", ""('FeatStructReader.read_app_value', {'source_file': 'nltk\\\\nltk\\\\featstruct.py', 'req_args': ['match', 'reentrances', 'position', 's'], 'opt_args': []})""]",[]
