,id,DISCUSSES_API,run1_result,run2_result,run3_result,final_result
0,40318380,False,False,False,False,False
1,55204418,False,True,True,True,True
2,32552027,True,True,True,True,True
3,30127427,True,True,True,True,True
4,30211923,True,True,True,True,True
5,46775308,True,True,True,True,True
6,42442043,False,True,True,True,True
7,32744558,True,True,True,True,True
8,16319106,False,False,False,False,False
9,19248234,False,True,True,True,True
10,22286930,True,True,True,True,True
11,26879295,True,True,True,True,True
12,31416684,True,True,True,True,True
13,35027279,False,False,False,False,False
14,37215876,False,True,True,True,True
15,37823074,True,True,True,True,True
16,38927585,False,True,True,True,True
17,41983874,False,False,False,False,False
18,42265471,False,True,True,True,True
19,42347173,True,True,True,True,True
20,43057733,True,True,True,True,True
21,43251277,False,True,True,True,True
22,45721456,False,True,True,True,True
23,47053770,True,True,True,True,True
24,48248731,True,True,True,True,True
25,48447147,True,True,True,True,True
26,49410331,False,True,True,True,True
27,49458297,False,True,True,True,True
28,50145702,False,True,True,True,True
29,52356473,True,True,True,True,True
30,53080937,False,True,True,True,True
