id,HAS_API,DISCUSSES_API
8652785,TRUE,TRUE
23349128,TRUE,TRUE
2772661,TRUE,FALSE
36217926,TRUE,FALSE
32557133,TRUE,TRUE
51471097,TRUE,FALSE
52728493,TRUE,FALSE
49480148,TRUE,TRUE
46598055,TRUE,FALSE
65494994,TRUE,FALSE
52532580,TRUE,FALSE
46879273,TRUE,FALSE
38199487,TRUE,FALSE
31057695,TRUE,FALSE
9019581,TRUE,TRUE
23849097,TRUE,TRUE
58840812,TRUE,FALSE
62063181,TRUE,TRUE
62616164,TRUE,FALSE
63431863,TRUE,TRUE
49032767,TRUE,FALSE
55984973,TRUE,TRUE
56470894,TRUE,FALSE
56095784,TRUE,FALSE
29927746,TRUE,FALSE
43618825,TRUE,FALSE
28898858,TRUE,TRUE
21812358,TRUE,TRUE
45526700,TRUE,TRUE
61672154,TRUE,FALSE
75753006,TRUE,TRUE
67234223,TRUE,FALSE
36144028,TRUE,TRUE
