Example,Extracted Function,Linked Function,Source File,Matched
r.json(),"(None, [])",N/A,N/A,False
r.raise_for_status(),"(None, [])",N/A,N/A,False
Response.raise_for_status(),"(None, [])",N/A,N/A,False
raise_for_status(),"(None, [])",N/A,N/A,False
requests.get(),"(None, [])",N/A,N/A,False
Request.prepare(),"(None, [])",N/A,N/A,False
Session.prepare_request(),"(None, [])",N/A,N/A,False
Response.iter_content(),"(None, [])",N/A,N/A,False
Response.iter_lines(),"(None, [])",N/A,N/A,False
"(form_field_name, file_info)","(None, [])",N/A,N/A,False
__call__(),"(None, [])",N/A,N/A,False
:   -   Response.__nonzero__ (false if bad HTTP Status),"(None, [])",N/A,N/A,False
"requests.request(method, url, **kwargs)","('requests.request', ['method', 'url', 'kwargs'])","('requests.request', ['url', 'method', 'kwargs'])",requests\requests\api.py,True
"requests.head(url, **kwargs)","('requests.head', ['url', 'kwargs'])","('requests.head', ['url', 'kwargs'])",requests\requests\api.py,True
"requests.get(url, params=None, **kwargs)","('requests.get', ['url', 'params', 'kwargs'])","('requests.get', ['url', 'params', 'kwargs'])",requests\requests\api.py,True
"requests.post(url, data=None, json=None, **kwargs)","('requests.post', ['url', 'data', 'json', 'kwargs'])","('requests.post', ['url', 'json', 'data', 'kwargs'])",requests\requests\api.py,True
"requests.put(url, data=None, **kwargs)","('requests.put', ['url', 'data', 'kwargs'])","('requests.put', ['url', 'data', 'kwargs'])",requests\requests\api.py,True
"requests.patch(url, data=None, **kwargs)","('requests.patch', ['url', 'data', 'kwargs'])","('requests.patch', ['url', 'data', 'kwargs'])",requests\requests\api.py,True
"requests.delete(url, **kwargs)","('requests.delete', ['url', 'kwargs'])","('requests.delete', ['url', 'kwargs'])",requests\requests\api.py,True
"exception requests.RequestException(*args, **kwargs)","('requests.RequestException', ['args', 'kwargs'])","('RequestException.__init__', ['kwargs'])",requests\requests\exceptions.py,True
"exception requests.ConnectionError(*args, **kwargs)","('requests.ConnectionError', ['args', 'kwargs'])",N/A,N/A,False
"exception requests.HTTPError(*args, **kwargs)","('requests.HTTPError', ['args', 'kwargs'])",N/A,N/A,False
"exception requests.URLRequired(*args, **kwargs)","('requests.URLRequired', ['args', 'kwargs'])",N/A,N/A,False
"exception requests.TooManyRedirects(*args, **kwargs)","('requests.TooManyRedirects', ['args', 'kwargs'])",N/A,N/A,False
"exception requests.ConnectTimeout(*args, **kwargs)","('requests.ConnectTimeout', ['args', 'kwargs'])",N/A,N/A,False
"exception requests.ReadTimeout(*args, **kwargs)","('requests.ReadTimeout', ['args', 'kwargs'])",N/A,N/A,False
"exception requests.Timeout(*args, **kwargs)","('requests.Timeout', ['args', 'kwargs'])",N/A,N/A,False
close(),"(None, [])",N/A,N/A,False
"delete(url, **kwargs)","('delete', ['url', 'kwargs'])","[('requests.delete', ['url', 'kwargs']), ('Session.delete', ['url', 'kwargs'])]",N/A,False
"get(url, **kwargs)","('get', ['url', 'kwargs'])","[('requests.get', ['url', 'params', 'kwargs']), ('Session.get', ['url', 'kwargs'])]",N/A,False
get_adapter(url),"('get_adapter', ['url'])","('Session.get_adapter', ['url'])",requests\requests\sessions.py,True
get_redirect_target(resp),"('get_redirect_target', ['resp'])","('SessionRedirectMixin.get_redirect_target', ['resp'])",requests\requests\sessions.py,True
"head(url, **kwargs)","('head', ['url', 'kwargs'])","[('requests.head', ['url', 'kwargs']), ('Session.head', ['url', 'kwargs'])]",N/A,False
"merge_environment_settings(url, proxies, stream, verify, cert)","('merge_environment_settings', ['url', 'proxies', 'stream', 'verify', 'cert'])","('Session.merge_environment_settings', ['cert', 'verify', 'stream', 'proxies', 'url'])",requests\requests\sessions.py,True
"mount(prefix, adapter)","('mount', ['prefix', 'adapter'])","('Session.mount', ['adapter', 'prefix'])",requests\requests\sessions.py,True
"options(url, **kwargs)","('options', ['url', 'kwargs'])","[('requests.options', ['url', 'kwargs']), ('Session.options', ['url', 'kwargs'])]",N/A,False
"patch(url, data=None, **kwargs)","('patch', ['url', 'data', 'kwargs'])","[('requests.patch', ['url', 'data', 'kwargs']), ('Session.patch', ['url', 'data', 'kwargs'])]",N/A,False
"post(url, data=None, json=None, **kwargs)","('post', ['url', 'data', 'json', 'kwargs'])","[('requests.post', ['url', 'json', 'data', 'kwargs']), ('Session.post', ['url', 'json', 'data', 'kwargs'])]",N/A,False
prepare_request(request),"('prepare_request', ['request'])","('Session.prepare_request', ['request'])",requests\requests\sessions.py,True
"put(url, data=None, **kwargs)","('put', ['url', 'data', 'kwargs'])","[('requests.put', ['url', 'data', 'kwargs']), ('Session.put', ['url', 'data', 'kwargs'])]",N/A,False
"rebuild_auth(prepared_request, response)","('rebuild_auth', ['prepared_request', 'response'])","('SessionRedirectMixin.rebuild_auth', ['response', 'prepared_request'])",requests\requests\sessions.py,True
"rebuild_method(prepared_request, response)","('rebuild_method', ['prepared_request', 'response'])","('SessionRedirectMixin.rebuild_method', ['response', 'prepared_request'])",requests\requests\sessions.py,True
"rebuild_proxies(prepared_request, proxies)","('rebuild_proxies', ['prepared_request', 'proxies'])","('SessionRedirectMixin.rebuild_proxies', ['proxies', 'prepared_request'])",requests\requests\sessions.py,True
"request(method, url, params=None, data=None, headers=None, cookies=None, files=None, auth=None, timeout=None, allow_redirects=True, proxies=None, hooks=None, stream=None, verify=None, cert=None, json=None)","('request', ['method', 'url', 'params', 'data', 'headers', 'cookies', 'files', 'auth', 'timeout', 'allow_redirects', 'proxies', 'hooks', 'stream', 'verify', 'cert', 'json'])","('Session.request', ['url', 'method', 'json', 'cert', 'verify', 'stream', 'hooks', 'proxies', 'allow_redirects', 'timeout', 'auth', 'files', 'cookies', 'headers', 'data', 'params'])",requests\requests\sessions.py,True
"resolve_redirects(resp, req, stream=False, timeout=None, verify=True, cert=None, proxies=None, yield_requests=False, **adapter_kwargs)","('resolve_redirects', ['resp', 'req', 'stream', 'timeout', 'verify', 'cert', 'proxies', 'yield_requests', 'adapter_kwargs'])","('SessionRedirectMixin.resolve_redirects', ['req', 'resp', 'yield_requests', 'proxies', 'cert', 'verify', 'timeout', 'stream', 'adapter_kwargs'])",requests\requests\sessions.py,True
"send(request, **kwargs)","('send', ['request', 'kwargs'])","('Session.send', ['request', 'kwargs'])",requests\requests\sessions.py,True
"should_strip_auth(old_url, new_url)","('should_strip_auth', ['old_url', 'new_url'])","('SessionRedirectMixin.should_strip_auth', ['new_url', 'old_url'])",requests\requests\sessions.py,True
"class requests.Request(method=None, url=None, headers=None, files=None, data=None, params=None, auth=None, cookies=None, hooks=None, json=None)","('requests.Request', ['method', 'url', 'headers', 'files', 'data', 'params', 'auth', 'cookies', 'hooks', 'json'])","('Request.__init__', ['json', 'hooks', 'cookies', 'auth', 'params', 'data', 'files', 'headers', 'url', 'method'])",requests\requests\models.py,True
"deregister_hook(event, hook)","('deregister_hook', ['event', 'hook'])","('RequestHooksMixin.deregister_hook', ['hook', 'event'])",requests\requests\models.py,True
prepare(),"(None, [])",N/A,N/A,False
"register_hook(event, hook)","('register_hook', ['event', 'hook'])","('RequestHooksMixin.register_hook', ['hook', 'event'])",requests\requests\models.py,True
"iter_content(chunk_size=1, decode_unicode=False)","('iter_content', ['chunk_size', 'decode_unicode'])","('Response.iter_content', ['decode_unicode', 'chunk_size'])",requests\requests\models.py,True
"iter_lines(chunk_size=512, decode_unicode=False, delimiter=None)","('iter_lines', ['chunk_size', 'decode_unicode', 'delimiter'])","('Response.iter_lines', ['delimiter', 'decode_unicode', 'chunk_size'])",requests\requests\models.py,True
json(**kwargs),"('json', ['kwargs'])","('Response.json', ['kwargs'])",requests\requests\models.py,True
"prepare(method=None, url=None, headers=None, files=None, data=None, params=None, auth=None, cookies=None, hooks=None, json=None)","('prepare', ['method', 'url', 'headers', 'files', 'data', 'params', 'auth', 'cookies', 'hooks', 'json'])","('PreparedRequest.prepare', ['json', 'hooks', 'cookies', 'auth', 'params', 'data', 'files', 'headers', 'url', 'method'])",requests\requests\models.py,True
"prepare_auth(auth, url='')","('prepare_auth', ['auth', 'url'])","('PreparedRequest.prepare_auth', ['auth', 'url'])",requests\requests\models.py,True
"prepare_body(data, files, json=None)","('prepare_body', ['data', 'files', 'json'])","('PreparedRequest.prepare_body', ['files', 'data', 'json'])",requests\requests\models.py,True
prepare_content_length(body),"('prepare_content_length', ['body'])","('PreparedRequest.prepare_content_length', ['body'])",requests\requests\models.py,True
