When possible this list is sorted from most likely to least likely.,nltk.parse.api.
When possible this list is sorted from most likely to least likely.,ParserI
The grammar used by this parser.,grammar
When possible this list is sorted from most likely to least likely.,parse
When possible this list is sorted from most likely to least likely.,parse_all
When possible this list is sorted from most likely to least likely.,parse_one
When possible this list is sorted from most likely to least likely.,parse_sents
An iterator that generates parse trees for the sentence.,nltk.parse.bllip.
An iterator that generates parse trees for the sentence.,BllipParser
A BllipParser object using the parser and reranker,from_unified_model_dir
An iterator that generates parse trees for the sentence.,tagged_parse
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.",nltk.parse.chart.
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.",AbstractChartRule
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.",apply
"Return a generator that will add all edges licensed by
this rule, given the edges that are currently in the
chart, one at a time.  Each time the generator is resumed,
it will either add a new edge and yield that edge; or return.",apply_everywhere
"A ChartParser using a bottom-up parsing strategy.
See ChartParser for more information.",BottomUpChartParser
"A ChartParser using a bottom-up left-corner parsing strategy.
This strategy is often more efficient than standard bottom-up.
See ChartParser for more information.",BottomUpLeftCornerChartParser
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.",BottomUpPredictCombineRule
"This is like BottomUpPredictRule, but it also applies
the FundamentalRule to the resulting edge.",NUM_EDGES
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.",BottomUpPredictRule
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.",CachedTopDownPredictRule
"child_pointer_lists (sequence of tuple(EdgeI)) – A sequence of lists of the edges that
were used to form this edge.  This list is used to reconstruct
the trees (or partial trees) that are associated with edge.",Chart
"Return the set of child pointer lists for the given edge.
Each child pointer list is a list of edges that have
been used to form this edge.",child_pointer_lists
"Return the set of child pointer lists for the given edge.
Each child pointer list is a list of edges that have
been used to form this edge.",dot_digraph
"Return a list of all edges in this chart.  New edges
that are added to the chart after the call to edges()
will not be contained in this list.",edges
"Return a list of all edges in this chart.  New edges
that are added to the chart after the call to edges()
will not be contained in this list.",initialize
"child_pointer_lists (sequence of tuple(EdgeI)) – A sequence of lists of the edges that
were used to form this edge.  This list is used to reconstruct
the trees (or partial trees) that are associated with edge.",insert
"Add a new edge to the chart, using a pointer to the previous edge.",insert_with_backpointer
"Return an iterator over the edges in this chart.  It is
not guaranteed that new edges which are added to the
chart before the iterator is exhausted will also be generated.",iteredges
Return the leaf value of the word at the given index.,leaf
Return the leaf value of the word at the given index.,leaves
Return the number of edges contained in this chart.,num_edges
Return the number of edges contained in this chart.,num_leaves
Return the number of edges contained in this chart.,parses
Return the number of edges contained in this chart.,pretty_format
"Return a pretty-printed string representation of a given edge
in this chart.",pretty_format_edge
