Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program (Original),Program (with domain specific verb list),Program (domain specific + filter),Library count,Program count,Program correct,Dom spec + filter count,Dom spec + filter correct
"Recognizes named entities (person and company names, etc.) in text. Principally, this annotator uses one or more machine learning sequence models to label entities, but it may also call specialist rule-based components, such as for labeling and interpreting times and dates. Numerical entities that require normalization, e.g., dates, have their normalized value stored in NormalizedNamedEntityTagAnnotation. For more extensive support for rule-based NER, you may also want to look at the RegexNER annotator. The set of entities recognized is language-dependent, and the recognized set of entities is frequently more limited for other languages than what is described below for English. As the name “NERClassifierCombiner” implies, commonly this annotator will run several named entity recognizers and then combine their results but it can run just a single annotator or only rule-based quantity NER.","Label entities with machine learning, Label entities with specialist rule-based components","Use machine
Use specialist rule",,,"Recognize named entities in text
Use one or more machine learning sequence models
Run several named entity recognizers
Run a single annotator",Recognize named entities in text,,1,"Recognize named entities in text
Use machine learning sequence models
Call specialist rule-based components
Run several named entity recognizers
Run a single annotator",,"use machine
learn sequence models to label entities
call specialist rule-based components
store  in NormalizedNamedEntityTagAnnotation
describe  for english
run several named entity recognizers
combine results
run single annotator","use machine
learn sequence models to label entities
call specialist rule-based components
run several named entity recognizers
run single annotator",call specialist rule-based components,0,8,0,1,0
"For English, by default, this annotator recognizes named (PERSON, LOCATION, ORGANIZATION, MISC), numerical (MONEY, NUMBER, ORDINAL, PERCENT), and temporal (DATE, TIME, DURATION, SET) entities (12 classes). Adding the regexner annotator and using the supplied RegexNER pattern files adds support for the fine-grained and additional entity classes EMAIL, URL, CITY, STATE_OR_PROVINCE, COUNTRY, NATIONALITY, RELIGION, (job) TITLE, IDEOLOGY, CRIMINAL_CHARGE, CAUSE_OF_DEATH, (Twitter, etc.) HANDLE (12 classes) for a total of 24 classes. Named entities are recognized using a combination of three CRF sequence taggers trained on various corpora, including CoNLL, ACE, MUC, and ERE corpora. Numerical entities are recognized using a rule-based system.","Recognize named/numerical/temporal entities, Add support for fine-grained and additional entity classes","Recognize person
Recognize location
Recognize organization
Recognize misc
Recognize Money
Recognize Number
Recognize Ordinal
Recognize Percent
Recognize Date
Recognize Time
Recognize Duration
Recognize Set
Add support for fine-grained entity classes
Add support for additional entity classes","Add support for fine-grained entity classes
Add support for additional entity classes",,"Recognize named entities
Recognize numerical entities
Recognize temporal entities
Add the regexner annotator
Use supplied RegexNER
Recognize named entities
Recognize numerical entites","Recognize named entities
Recognize numerical entities
Recognize temporal entities
Recognize fine-grained and additional entity classes","Recognize named entities
Recognize numerical entities",1,"Recognize named entities
Recognize numerical entities
Recognize temporal entities
Add the regexner annotator
Use supplied RegexNER patterns
Add support for fine-grained entity classes
Add support for additional entity classes","Recognize named entities
Recognize numerical entities
Recognize temporal entities","add regexner annotator
use RegexNER pattern files
add support for additional entity classes
use combination of CRF sequence taggers
use rule-based system","recognize temporal entities by default
recognize temporal entities for english
add regexner annotator
use RegexNER pattern files
add support for additional entity classes
use combination of CRF sequence taggers
recognize named entities
use rule-based system
recognize numerical entities","recognize temporal entities by default
recognize temporal entities for english
add regexner annotator
add support for additional entity classes
recognize named entities
recognize numerical entities",3,5,0,6,2
The full named entity recognition pipeline has become fairly complex and involves a set of distinct phases integrating statistical and rule based approaches. Here is a breakdown of those distinct phases.,,,,,,,,,,,,,,0,0,0,1,0
The main class that runs this process is edu.stanford.nlp.pipeline.NERCombinerAnnotator,,,,,,,,,,,"run process
run main class","run process
run main class",,0,2,0,1,0
During this phase a series of trained CRF’s will be run on each sentence. These CRF’s are trained on large tagged data sets. They evaluate the entire sequence and pick the optimal tag sequence.,,,,,Run trained CRF's on each sentence,,,1,Run trained CRF's on each sentence,,"run series of trained CRF 's
run series during phase
run series on sentence","run series of trained CRF s
run series during phase
run series on sentence
evaluate entire sequence",evaluate entire sequence,0,3,0,1,0
These are the default models that are run:,,,,,,,,,,,run default models,run default models,,0,1,0,1,0
Tags written by one model cannot be overwritten by subsequent models in the series.,,,,,,,,,,,,,,0,0,0,1,0
There are two options for how the models are combined. These are selected with the ner.combinationMode property.,,,,,Combine models,,Combine models,,,,"combine models
select  with ner.combinationMode property",select  with ner.combinationMode property,select  with ner.combinationMode property,0,2,0,1,0
"So for example, if the ner.combinationMode is set to NORMAL, only the 3-class model’s ORGANIZATION tags will be applied. If it is set to HIGH_RECALL, the 7-class and 4-class models’ ORGANIZATION tags will also be applied.",,,,,"set ner.CombinationMode to NORMAL
set ner.CombinationMode to ORGANIZATION",,"set ner.CombinationMode to NORMAL
set ner.CombinationMode to ORGANIZATION",,,,"set ner.combinationMode to NORMAL
apply ORGANIZATION tags
set  to HIGH_RECALL","set ner.combinationMode to NORMAL
set  to HIGH_RECALL","set ner.combinationMode to NORMAL
set  to HIGH_RECALL",0,3,0,2,0
"If you do not want to run any statistical models, set ner.model to the empty string.",,Do not run statistical models,,,Do not run any statistical models,,Do not run any statistical models,0,,,"run statistical models
set ner.model to empty string","run statistical models
set ner.model to empty string",set ner.model to empty string,0,2,0,1,0
