Example,Signature,Extracted,Linked
QUnit.module( name ),['QUnit.module( name )'],"[('module', ['name', 'options', 'executeNow'])]","[('module', ['name', 'options', 'executeNow'])]"
"QUnit.module( name, nested )","['QUnit.module( name, nested )']","[('module', ['name', 'options', 'executeNow'])]","[('module', ['name', 'options', 'executeNow'])]"
"QUnit.module( name, options )","['QUnit.module( name, options )']","[('module', ['name', 'options', 'executeNow'])]","[('module', ['name', 'options', 'executeNow'])]"
"QUnit.module( name, options, nested )","['QUnit.module( name, options, nested )']","[('module', ['name', 'options', 'executeNow'])]","[('module', ['name', 'options', 'executeNow'])]"
QUnit.module.only(),"['QUnit.module.only()', 'QUnit.module.only()', 'QUnit.module.only()', 'QUnit.module.only()']","[('module.only', [None])]",[]
QUnit.module.skip(),"['QUnit.module.skip()', 'QUnit.module.skip()', '', 'QUnit.module.skip()']","[('module.skip', ['name', 'options', 'executeNow'])]","[('module.skip', ['name', 'options', 'executeNow']), ('module.skip', ['name', 'options', 'executeNow']), ('module.skip', ['name', 'options', 'executeNow'])]"
QUnit.module.todo(),"['QUnit.module.todo()', 'QUnit.module.todo()', 'QUnit.module.todo()', 'QUnit.module.todo()']","[('module.todo', ['name', 'options', 'executeNow'])]","[('module.todo', ['name', 'options', 'executeNow']), ('module.todo', ['name', 'options', 'executeNow']), ('module.todo', ['name', 'options', 'executeNow']), ('module.todo', ['name', 'options', 'executeNow'])]"
QUnit.module(),['QUnit.module()'],"[('module', ['name', 'options', 'executeNow'])]","[('module', ['name', 'options', 'executeNow'])]"
QUnit.test.only(),"['QUnit.test.only()', 'QUnit.test.only()', 'QUnit.test.only()']","[('module.only', [None])]",[]
QUnit.test.skip(),"['QUnit.test.skip()', 'QUnit.test.skip()', 'QUnit.test.skip()']","[('module.skip', ['name', 'options', 'executeNow'])]",[]
QUnit.test.todo(),"['QUnit.test.todo()', 'QUnit.test.todo()', 'QUnit.test.todo()', 'QUnit.test.todo()']","[('module.todo', ['name', 'options', 'executeNow'])]",[]
QUnit.begin(),['QUnit.begin()'],"[('begin', [])]","[('begin', [])]"
"QUnit.module('Group A');

QUnit.test('basic test example 1', function (assert) {
  assert.true(true, 'this is fine');
});
QUnit.test('basic test example 2', function (assert) {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

QUnit.test('basic test example 3', function (assert) {
  assert.true(true, 'this is fine');
});
QUnit.test('basic test example 4', function (assert) {
  assert.true(true, 'this is also fine');
});",[''],"[('module', ['name', 'options', 'executeNow']), ('QUnit.test', ['N/A'])]",[]
"const { test } = QUnit;

QUnit.module('Group A');

test('basic test example', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 2', assert => {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

test('basic test example 3', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 4', assert => {
  assert.true(true, 'this is also fine');
});",[''],"[('module', ['name', 'options', 'executeNow']), ('test', ['N/A'])]",[]
"const { test } = QUnit;

QUnit.module('Group A', hooks => {
  test('basic test example', assert => {
    assert.true(true, 'this is fine');
  });

  test('basic test example 2', assert => {
    assert.true(true, 'this is also fine');
  });
});

QUnit.module('Group B', hooks => {
  test('basic test example 3', assert => {
    assert.true(true, 'this is fine');
  });

  test('basic test example 4', assert => {
    assert.true(true, 'this is also fine');
  });
});",[''],"[('test', ['N/A'])]",[]
"const { test } = QUnit;

QUnit.module('My Group', hooks => {
  // It is valid to call the same hook methods more than once.
  hooks.beforeEach(assert => {
    assert.ok(true, 'beforeEach called');
  });

  hooks.afterEach(assert => {
    assert.ok(true, 'afterEach called');
  });

  test('with hooks', assert => {
    // 1 x beforeEach
    // 1 x afterEach
    assert.expect(2);
  });

  QUnit.module('Nested Group', hooks => {
    // This will run after the parent module's beforeEach hook
    hooks.beforeEach(assert => {
      assert.ok(true, 'nested beforeEach called');
    });

    // This will run before the parent module's afterEach
    hooks.afterEach(assert => {
      assert.ok(true, 'nested afterEach called');
    });

    test('with nested hooks', assert => {
      // 2 x beforeEach (parent, current)
      // 2 x afterEach (current, parent)
      assert.expect(4);
    });
  });
});",[''],"[('hooks.beforeEach', ['N/A'])]",[]
"QUnit.module('Machine Maker', {
  beforeEach: function () {
    this.maker = new Maker();
    this.parts = ['wheels', 'motor', 'chassis'];
  }
});

QUnit.test('makes a robot', function (assert) {
  this.parts.push('arduino');
  assert.equal(this.maker.build(this.parts), 'robot');
  assert.deepEqual(this.maker.log, ['robot']);
});

QUnit.test('makes a car', function (assert) {
  assert.equal(this.maker.build(this.parts), 'car');
  this.maker.duplicate();
  assert.deepEqual(this.maker.log, ['car', 'car']);
});",[''],"[('Maker', ['N/A'])]",[]
"const { test } = QUnit;

QUnit.module('Machine Maker', hooks => {
  hooks.beforeEach(function () {
    this.maker = new Maker();
    this.parts = ['wheels', 'motor', 'chassis'];
  });

  test('makes a robot', function (assert) {
    this.parts.push('arduino');
    assert.equal(this.maker.build(this.parts), 'robot');
    assert.deepEqual(this.maker.log, ['robot']);
  });

  test('makes a car', function (assert) {
    assert.equal(this.maker.build(this.parts), 'car');
    this.maker.duplicate();
    assert.deepEqual(this.maker.log, ['car', 'car']);
  });
});",[''],"[('hooks.beforeEach', ['N/A'])]",[]
"const { test } = QUnit;

QUnit.module('Machine Maker', hooks => {
  let maker;
  let parts;
  hooks.beforeEach(() => {
    maker = new Maker();
    parts = ['wheels', 'motor', 'chassis'];
  });

  test('makes a robot', assert => {
    parts.push('arduino');
    assert.equal(maker.build(parts), 'robot');
    assert.deepEqual(maker.log, ['robot']);
  });

  test('makes a car', assert => {
    assert.equal(maker.build(parts), 'car');
    maker.duplicate();
    assert.deepEqual(maker.log, ['car', 'car']);
  });
});",[''],"[('hooks.beforeEach', ['N/A'])]",[]
