,id,,result,HAS_API,DISCUSSES_API,,,LSA_summary
0,11869910,https://stackoverflow.com/questions/11869910,FALSE,FALSE,FALSE,,,"pandas: filter rows of DataFrame with operator chaining Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing This is unappealing as it requires I assign df to a variable before being able to filter on its values. Is there something more like the following?"
1,18889588,https://stackoverflow.com/questions/18889588,FALSE,FALSE,FALSE,,,"Create dummies from column with multiple values in pandas I am looking for for a pythonic way to handle the following problem. For example, if the column has values in ['A', 'B'], get_dummies() creates 2 dummy variables and assigns 0 or 1 accordingly."
3,25695986,https://stackoverflow.com/questions/25695986,FALSE,FALSE,FALSE,,,"We can get the correct value with np.std(): But obviously, this is not a solution when I have more than one restaurant. There is a related discussion here, but their suggestions do not work either."
4,31498390,https://stackoverflow.com/questions/31498390,FALSE,FALSE,FALSE,,,how to get pandas get_dummies to emit N-1 variables to avoid collinearity? pandas.get_dummies emits a dummy variable per categorical value.
5,32552027,https://stackoverflow.com/questions/32552027,FALSE,FALSE,FALSE,,,"With `pandas.cut()`, how do I get integer bins and avoid getting a negative lowest bound? I am trying to use the precision and include_lowest parameters of pandas.cut(), but I can't get the intervals consist of integers rather than floats with one decimal."
6,33149428,https://stackoverflow.com/questions/33149428,FALSE,FALSE,FALSE,,,Modify the legend of pandas bar plot I am always bothered when I make a bar plot with pandas and I want to change the names of the labels in the legend. Consider for instance the output of this code:
7,37265312,https://stackoverflow.com/questions/37265312,FALSE,FALSE,FALSE,,,"How to create dummies for certain columns with pandas.get_dummies() I just want Column A and D to get dummies not for Column B. If I used pd.get_dummies(df), all columns turned into dummies."
8,38413579,https://stackoverflow.com/questions/38413579,FALSE,FALSE,FALSE,,,What is the difference between sklearn LabelEncoder and pd.get_dummies? What is the advantage of using one over another?
9,38951345,https://stackoverflow.com/questions/38951345,FALSE,FALSE,FALSE,,,"How to get rid of multilevel index after using pivot table pandas? I had following data frame (the real data frame is much more larger than this one ) : Then reshaped it to move the values in sale_product_id as column headers using the following code: and the resulting data frame is: as you can see we have a multililevel index , what i need is to have sale_user_is in the first column without multilevel indexing: i take the following approach : the the result would be like this i still have the sale_product_id column , but i do not need it anymore: i can subset this data frame to get rid of sale_product_id but i don't think it would be efficient.I am looking for an efficient way to get rid of multilevel indexing while reshaping the original data frame"
10,42921854,https://stackoverflow.com/questions/42921854,FALSE,FALSE,FALSE,,,How to check if a particular cell in pandas DataFrame isnull? I have the following df in pandas.
11,43172970,https://stackoverflow.com/questions/43172970,FALSE,FALSE,FALSE,,,"Python pandas groupby aggregate on multiple columns, then pivot In Python, I have a pandas DataFrame similar to the following: Where shop1, shop2 and shop3 are the costs of every item in different shops. Now, I need to  return a DataFrame, after some data cleaning, like this one: where size is the number of items in each Category and sum, mean and std are related to the same functions applied to the 3 shops."
12,43756052,https://stackoverflow.com/questions/43756052,FALSE,FALSE,FALSE,,,transform pandas pivot table to regular dataframe How can I convert a pandas pivot table to a regular dataframe ? For example: to a regular datetime such as this:
13,43821529,https://stackoverflow.com/questions/43821529,FALSE,FALSE,FALSE,,,"Filter out nan rows in a specific column Given the dataframe df, I want to obtain a new dataframe df2 that does not contain nan in the column Col2. This is the expected result: df2 = I know that it's possible to use pandas.isnull and dropna, however how to specify only particular column to which filtering should be applied?"
14,50607740,https://stackoverflow.com/questions/50607740,FALSE,FALSE,FALSE,,,"Reverse a get_dummies encoding in pandas Column names are: ID,1,2,3,4,5,6,7,8,9. The col values are either 0 or 1 My dataframe looks like this: I want the column names in front of the ID where the value in a row is 1."
15,51174691,https://stackoverflow.com/questions/51174691,FALSE,FALSE,FALSE,,,"How to increase image size of pandas.DataFrame.plot How can I modify the size of the output image of the function pandas.DataFrame.plot? I tried: plt.figure(figsize=(10, 5)) and %matplotlib notebook but none of them work."
16,55204418,https://stackoverflow.com/questions/55204418,FALSE,FALSE,FALSE,,,"How to rename categories after using pandas.cut with IntervalIndex? Example: The resulting categories will be: I am trying to change [(0, 1] < (2, 3] < (4, 5]] into something like 1, 2 ,3 or small, medium ,large."
2,20119414,https://stackoverflow.com/questions/20119414,FALSE,TRUE,TRUE,,,So is it possible to do so using pandas? Now this will get a pivot table with sum: And this for mean: How can I get sum for D and mean for E?
17,12860421,https://stackoverflow.com/questions/12860421,TRUE,TRUE,TRUE,,,How to aggregate unique count with pandas pivot_table This code: returns the following error: How do I get a Pivot Table with counts of unique values of one DataFrame column for two other columns? Should I be using np.bincount()?
18,16860172,https://stackoverflow.com/questions/16860172,TRUE,TRUE,TRUE,,,python pandas: pivot_table silently drops indices with nans Is there an option not to drop the indices with NaN in them? I think silently dropping these rows from the pivot will at some point cause someone serious pain.
19,33290374,https://stackoverflow.com/questions/33290374,TRUE,TRUE,FALSE,,,pandas pivot_table column names For a dataframe like this: to which I apply pivot_table to get df2: is there an easy way to format resulting dataframe column names like If I do: I get: How to get rid of the extra level? thanks!
20,22412033,https://stackoverflow.com/questions/22412033,TRUE,TRUE,TRUE,,,"python pandas pivot_table count frequency in one column I am still new to Python pandas' pivot_table and would like to ask a way to count frequencies of values in one column, which is also linked to another column of ID. For the output, I'd like to get something like the following: So far, I tried this code: This code gives me the two same things."
21,23814605,https://stackoverflow.com/questions/23814605,TRUE,TRUE,TRUE,,,"pandas pivot_table multiple aggfunc When I create a pivot table on a dataframe I have, passing aggfunc='mean' works as expected, aggfunc='count' works as expected, however aggfunc=['mean', 'count'] results in: AttributeError: 'str' object has no attribute '__name__ This format seemed to work previously: Multiple AggFun in Pandas How do I create a pivot table with multiple functions?"
22,34702815,https://stackoverflow.com/questions/34702815,TRUE,TRUE,TRUE,,,Difference between groupby and pivot_table for pandas dataframes I just started learning Pandas and was wondering if there is any difference between groupby and pivot_table functions. Can anyone help me understand the difference between them?
23,41474284,https://stackoverflow.com/questions/41474284,TRUE,TRUE,FALSE,,,"How to convert a matrix into column array with PANDAS / Python I need to convert a matriz (below) into a 3 column list. I currently have a DataFrame as this: and I need to get a results as this: I've been trying to use pandas.pivot_table function, but I can't get the result needed."
24,46859400,https://stackoverflow.com/questions/46859400,TRUE,TRUE,TRUE,,,"pandas pivot changes dtype After create a new dataframe with pandas pivot_table, the dtype changes from int32 to float Original dataframe output: output: Whe I use pivot_table output: output: Why 0 column become float? How to avoid this?"
25,64503929,https://stackoverflow.com/questions/64503929,TRUE,TRUE,FALSE,,,"Convert X and Y arrays into a frequencies grid I would like to convert two arrays (x and y) into a frequency n x n matrix (n = 5), indicating each cell the number of point that contains. This is the objetive matrix, saved as a df:"
26,76891209,https://stackoverflow.com/questions/76891209,,TRUE,FALSE,,,
27,76275425,https://stackoverflow.com/questions/76275425,,TRUE,FALSE,,,
28,73555758,https://stackoverflow.com/questions/73555758,,TRUE,TRUE,,,
29,71775175,https://stackoverflow.com/questions/71775175,,TRUE,FALSE,,,
30,70865175,https://stackoverflow.com/questions/70865175,,TRUE,TRUE,,,
31,69108694,https://stackoverflow.com/questions/69108694,,TRUE,FALSE,,,
32,69008275,https://stackoverflow.com/questions/69008275,,TRUE,TRUE,,,
33,66972016,https://stackoverflow.com/questions/66972016,,TRUE,TRUE,,,
34,64976121,https://stackoverflow.com/questions/64976121,,TRUE,TRUE,,,
35,63239708,https://stackoverflow.com/questions/63239708,,TRUE,FALSE,,,
36,62841492,https://stackoverflow.com/questions/62841492,,TRUE,TRUE,,,
37,61630255,https://stackoverflow.com/questions/61630255,,TRUE,FALSE,,,
38,61620499,https://stackoverflow.com/questions/61620499,,TRUE,TRUE,,,
39,60688662,https://stackoverflow.com/questions/60688662,,TRUE,TRUE,,,
40,59868363,https://stackoverflow.com/questions/59868363,,TRUE,TRUE,,,
41,59811530,https://stackoverflow.com/questions/59811530,,TRUE,TRUE,,,
42,59011236,https://stackoverflow.com/questions/59011236,,TRUE,TRUE,,,
43,56667958,https://stackoverflow.com/questions/56667958,,TRUE,TRUE,,,
44,56359196,https://stackoverflow.com/questions/56359196,,TRUE,TRUE,,,
45,55359807,https://stackoverflow.com/questions/55359807,,TRUE,FALSE,,,
46,54317109,https://stackoverflow.com/questions/54317109,,TRUE,TRUE,,,
47,52870521,https://stackoverflow.com/questions/52870521,,TRUE,TRUE,,,
48,52230219,https://stackoverflow.com/questions/52230219,,TRUE,FALSE,,,
