id,result,HAS_API,DISCUSSES_API
53645882,TRUE,TRUE,TRUE
41815079,TRUE,TRUE,TRUE
11976503,TRUE,FALSE,FALSE
38256104,TRUE,FALSE,FALSE
13636848,TRUE,FALSE,FALSE
37697195,TRUE,FALSE,FALSE
9787853,TRUE,FALSE,FALSE
31528819,TRUE,TRUE,TRUE
44367672,TRUE,TRUE,FALSE
28174752,TRUE,TRUE,TRUE
38242368,TRUE,TRUE,TRUE
20206615,TRUE,TRUE,TRUE
37095161,TRUE,TRUE,TRUE
29351840,TRUE,FALSE,FALSE
27065133,TRUE,TRUE,TRUE
32676027,TRUE,TRUE,TRUE
29761915,TRUE,FALSE,FALSE
21201618,TRUE,TRUE,TRUE
23940181,TRUE,TRUE,TRUE
53688988,TRUE,TRUE,TRUE
24614474,TRUE,TRUE,TRUE
45869886,TRUE,FALSE,FALSE
50168532,TRUE,FALSE,FALSE
54673783,TRUE,TRUE,TRUE
51057924,TRUE,TRUE,TRUE
46563833,TRUE,FALSE,FALSE
39985861,TRUE,TRUE,TRUE
46732760,TRUE,FALSE,FALSE
49671693,TRUE,FALSE,FALSE
29280393,TRUE,TRUE,TRUE
25095971,TRUE,FALSE,FALSE
34227038,TRUE,TRUE,TRUE
44937462,TRUE,TRUE,FALSE
48051100,TRUE,FALSE,FALSE
