id,,result,HAS_API,DISCUSSES_API
31362573,https://stackoverflow.com/questions/31362573,TRUE,TRUE,FALSE
41845773,https://stackoverflow.com/questions/41845773,TRUE,TRUE,FALSE
43173297,https://stackoverflow.com/questions/43173297,TRUE,TRUE,FALSE
46693095,https://stackoverflow.com/questions/46693095,TRUE,TRUE,FALSE
50653962,https://stackoverflow.com/questions/50653962,TRUE,TRUE,FALSE
52092405,https://stackoverflow.com/questions/52092405,TRUE,TRUE,FALSE
65254535,https://stackoverflow.com/questions/65254535,TRUE,TRUE,TRUE
32591466,https://stackoverflow.com/questions/32591466,TRUE,TRUE,TRUE
17834995,https://stackoverflow.com/questions/17834995,TRUE,TRUE,TRUE
22937650,https://stackoverflow.com/questions/22937650,TRUE,TRUE,TRUE
26474693,https://stackoverflow.com/questions/26474693,TRUE,TRUE,TRUE
38560748,https://stackoverflow.com/questions/38560748,TRUE,TRUE,TRUE
49801060,https://stackoverflow.com/questions/49801060,TRUE,TRUE,TRUE
47857112,https://stackoverflow.com/questions/47857112,TRUE,TRUE,TRUE
43367805,https://stackoverflow.com/questions/43367805,TRUE,TRUE,TRUE
47975866,https://stackoverflow.com/questions/47975866,TRUE,TRUE,TRUE
57348149,https://stackoverflow.com/questions/57348149,TRUE,TRUE,TRUE
50695778,https://stackoverflow.com/questions/50695778,TRUE,TRUE,TRUE
54890013,https://stackoverflow.com/questions/54890013,TRUE,TRUE,TRUE
41128526,https://stackoverflow.com/questions/41128526,TRUE,TRUE,TRUE
48977649,https://stackoverflow.com/questions/48977649,TRUE,TRUE,TRUE
47768950,https://stackoverflow.com/questions/47768950,TRUE,TRUE,TRUE
50091272,https://stackoverflow.com/questions/50091272,TRUE,TRUE,TRUE
19760741,https://stackoverflow.com/questions/19760741,TRUE,TRUE,TRUE
38476733,https://stackoverflow.com/questions/38476733,TRUE,TRUE,TRUE
50472696,https://stackoverflow.com/questions/50472696,TRUE,TRUE,TRUE
30765820,https://stackoverflow.com/questions/30765820,TRUE,TRUE,TRUE
59196316,https://stackoverflow.com/questions/59196316,TRUE,TRUE,TRUE
65330288,https://stackoverflow.com/questions/65330288,TRUE,TRUE,TRUE
75382340,https://stackoverflow.com/questions/75382340,TRUE,TRUE,TRUE
21947813,https://stackoverflow.com/questions/21947813,TRUE,TRUE,TRUE
39322930,https://stackoverflow.com/questions/39322930,TRUE,TRUE,TRUE
55239010,https://stackoverflow.com/questions/55239010,TRUE,TRUE,TRUE
45700658,https://stackoverflow.com/questions/45700658,TRUE,TRUE,TRUE
44317615,https://stackoverflow.com/questions/44317615,TRUE,TRUE,TRUE
47234997,https://stackoverflow.com/questions/47234997,TRUE,TRUE,TRUE
