,id,DISCUSSES_API,run1_result,run2_result,run3_result,final_result
0,11869910,False,False,False,False,False
1,18889588,False,False,False,False,False
2,25695986,False,False,False,False,False
3,31498390,False,False,False,False,False
4,32552027,False,False,False,False,False
5,33149428,False,False,False,False,False
6,37265312,False,False,False,False,False
7,38413579,False,False,False,False,False
8,38951345,False,False,False,False,False
9,42921854,False,False,False,False,False
10,43172970,False,False,False,False,False
11,43756052,False,False,False,False,False
12,43821529,False,False,False,False,False
13,50607740,False,False,False,False,False
14,51174691,False,False,False,False,False
15,55204418,False,False,False,False,False
16,20119414,True,True,True,True,True
17,12860421,True,True,True,True,True
18,16860172,True,True,True,True,True
19,33290374,False,True,True,True,True
20,22412033,True,True,True,True,True
21,23814605,True,True,True,True,True
22,34702815,True,False,False,False,False
23,41474284,False,False,False,False,False
24,46859400,True,True,True,True,True
25,64503929,False,False,False,False,False
26,76891209,False,False,False,False,False
27,76275425,False,False,False,False,False
28,73555758,True,True,True,True,True
29,71775175,False,True,True,True,True
30,70865175,True,True,True,True,True
31,69108694,False,False,False,False,False
32,69008275,True,True,True,True,True
33,66972016,True,True,True,True,True
34,64976121,True,False,True,False,False
35,63239708,False,True,True,True,True
36,62841492,True,True,True,True,True
37,61630255,False,True,True,True,True
38,61620499,True,True,True,True,True
39,60688662,True,True,True,True,True
40,59868363,True,True,True,True,True
41,59811530,True,True,True,True,True
42,59011236,True,True,True,True,True
43,56667958,True,True,True,True,True
44,56359196,True,True,True,True,True
45,55359807,False,True,True,True,True
46,54317109,True,True,True,True,True
47,52870521,True,True,True,True,True
48,52230219,False,False,False,False,False
