requests.RequestException,49099313,yes
requests.ConnectionError,74253820,yes
requests.HTTPError,19342111,no
requests.TooManyRedirects,43421026,no
requests.ConnectTimeout,68294548,no
requests.ReadTimeout,66673389,no
requests.Timeout,21965484,no
requests.JSONDecodeError,52488117,no
requests.Session.close,49253246,yes
requests.Session.patch,57599574,no
requests.Session.post,74036046,yes
requests.Session.request,52299667,no
requests.Response,47193745,yes
requests.PreparedRequest,72690927,no
requests.auth.AuthBase,17427507,no
requests.utils.dict_from_cookiejar,13971649,no
requests.utils.add_dict_to_cookiejar,40692514,yes
requests.cookies.RequestsCookieJar.get,68140641,no
requests.cookies.RequestsCookieJar.set,75514573,no
requests.cookies.CookieConflictError,25589021,no
requests.ConnectionError,67474679,no
requests.HTTPError,69782728,no
requests.TooManyRedirects,23651947,yes
requests.ConnectTimeout,77319906,no
requests.ReadTimeout,76222354,no
requests.Timeout,61974206,no
requests.JSONDecodeError,56594317,no
requests.Session.close,55354427,no
requests.Session.post,71943475,yes
requests.Session.request,41314953,no
requests.Response,19568950,yes
requests.auth.AuthBase,68374804,yes
requests.cookies.RequestsCookieJar.get,42720830,no
requests.cookies.RequestsCookieJar.set,56931598,no
requests.cookies.CookieConflictError,14873277,yes
requests.ConnectionError,40990472,no
requests.HTTPError,66908549,no
requests.TooManyRedirects,48388552,no
requests.ConnectTimeout,75618304,no
requests.ReadTimeout,58165021,no
requests.Timeout,59197263,no
requests.JSONDecodeError,76326769,no
requests.Session.close,71821057,yes
requests.Session.post,68942161,no
requests.Session.request,46878216,no
requests.Response,43616566,no
requests.cookies.RequestsCookieJar.get,25091976,no
requests.cookies.RequestsCookieJar.set,69990660,no
requests.ConnectionError,21407147,no
requests.HTTPError,66370259,no
requests.TooManyRedirects,46881720,no
requests.ConnectTimeout,51144752,no
requests.Timeout,50032614,no
requests.JSONDecodeError,74838554,no
requests.Session.post,42118029,no
requests.Session.request,25253134,no
requests.Response,42014301,no
requests.cookies.RequestsCookieJar.get,74964777,no
requests.cookies.RequestsCookieJar.set,68278888,no
requests.ConnectionError,64658898,yes
requests.HTTPError,16206062,no
requests.TooManyRedirects,27766515,no
requests.Timeout,40009499,no
requests.JSONDecodeError,72122276,no
requests.Session.request,52171712,yes
requests.Response,67281120,yes
requests.cookies.RequestsCookieJar.get,56931598,no
requests.cookies.RequestsCookieJar.set,65300274,no
requests.ConnectionError,21275072,no
requests.HTTPError,63406195,no
requests.Timeout,75977025,no
requests.JSONDecodeError,70406639,no
requests.Session.request,42118029,no
requests.Response,63512275,yes
requests.cookies.RequestsCookieJar.get,44445739,no
requests.ConnectionError,18478013,yes
requests.HTTPError,56811121,no
requests.Timeout,66382131,no
requests.JSONDecodeError,70896452,no
requests.Session.request,40303258,no
requests.Response,56442782,yes
requests.cookies.RequestsCookieJar.get,77895796,no
requests.ConnectionError,14236426,yes
requests.HTTPError,62359449,no
requests.Timeout,60700698,no
requests.JSONDecodeError,68090446,no
requests.Response,71461952,no
requests.cookies.RequestsCookieJar.get,55767905,no
requests.ConnectionError,68899331,no
requests.Timeout,60200016,no
requests.JSONDecodeError,58594635,yes
requests.Response,70925585,no
requests.cookies.RequestsCookieJar.get,74314013,no
requests.ConnectionError,66137200,yes
requests.Timeout,48176618,no
requests.JSONDecodeError,64814332,no
requests.Response,68524478,no
requests.cookies.RequestsCookieJar.get,73025110,no
requests.ConnectionError,53660287,no
requests.Timeout,62049807,no
requests.JSONDecodeError,63146451,no
requests.Response,68039452,yes
requests.cookies.RequestsCookieJar.get,51754074,no
requests.ConnectionError,32250340,yes
requests.JSONDecodeError,56090654,no
requests.Response,57312396,yes
requests.ConnectionError,34595218,no
requests.Response,54823236,no
requests.ConnectionError,28627162,yes
