,id,DISCUSSES_API,run1_result,run2_result,run3_result,final_result
0,50607740,False,False,False,False,False
1,37265312,True,True,True,True,True
2,18889588,True,False,False,False,False
3,31498390,True,True,True,True,True
4,38413579,True,True,True,True,True
5,31888856,False,False,False,False,False
6,28465633,True,True,True,True,True
7,48170405,True,True,True,True,True
8,26724872,False,True,True,True,True
9,29221894,False,True,True,True,True
10,34529542,False,True,True,True,True
11,37381862,True,True,True,True,True
12,39923927,False,False,False,False,False
13,43334222,False,True,True,True,True
14,47127388,False,True,True,True,True
15,50138787,True,True,True,True,True
16,52072821,False,True,True,True,True
17,53002047,False,True,True,True,True
18,53004426,True,True,True,True,True
19,54411582,True,True,True,True,True
20,55520223,False,True,True,True,True
21,55546321,True,True,True,True,True
22,55751906,False,False,False,False,False
23,56099598,False,True,True,True,True
24,56733297,False,False,False,False,False
25,56738267,True,True,True,True,True
26,56742667,True,True,True,True,True
27,56929119,True,True,True,True,True
28,57065878,False,False,False,False,False
29,57950901,False,True,True,True,True
30,58564612,True,True,True,True,True
31,11869910,False,False,False,False,False
32,51174691,False,False,False,False,False
33,33149428,False,False,False,False,False
34,12860421,False,False,False,False,False
35,43172970,False,False,False,False,False
36,38951345,False,False,False,False,False
37,33290374,False,False,False,False,False
38,43821529,False,False,False,False,False
39,16860172,False,False,False,False,False
40,42921854,False,False,False,False,False
41,20119414,False,False,False,False,False
42,43756052,False,False,False,False,False
43,55204418,False,False,False,False,False
44,25695986,False,False,False,False,False
45,32552027,False,False,False,False,False
