,id,DISCUSSES_API,run1_result,run2_result,run3_result,final_result
0,11622652,False,True,True,True,True
1,20680272,False,False,False,False,False
2,34447448,False,True,True,True,True
3,23569771,False,True,False,True,True
4,31888856,False,True,True,True,True
5,39000481,False,False,False,False,False
6,28976546,False,False,False,True,False
7,45732459,False,True,True,True,True
8,56837418,False,True,True,True,True
9,21269399,True,True,True,True,True
10,10867028,True,True,True,True,True
11,20637439,True,True,True,True,True
12,33952142,True,True,True,True,True
13,15017072,True,True,True,True,True
14,15026698,True,True,True,True,True
15,31700691,True,True,True,False,True
16,17557074,True,True,True,True,True
17,12960574,True,True,True,True,True
18,18366797,True,True,True,True,True
19,20696479,True,True,True,True,True
20,25669588,True,True,True,True,True
21,39263929,True,True,True,True,True
22,15210962,True,True,True,True,True
23,28382735,True,True,True,True,True
24,34139102,True,True,True,True,True
25,40769691,True,True,True,True,True
26,28284912,True,True,True,True,True
27,26595819,True,True,True,True,True
28,38716643,True,True,True,True,True
29,41235111,True,True,True,True,True
30,36909368,True,True,True,True,True
31,47368296,True,True,True,True,True
32,26495408,True,True,True,True,True
33,31194669,True,True,True,True,True
34,30494569,True,True,True,True,True
35,29862864,True,True,True,True,True
36,14002158,True,False,False,False,False
37,42165649,True,True,True,True,True
38,20095983,True,True,True,True,True
39,22809061,True,True,True,True,True
40,31362573,True,True,True,True,True
41,31620667,True,True,True,True,True
42,13824840,True,True,True,True,True
43,13719946,True,True,True,True,True
44,20689288,True,True,False,True,True
45,49532873,True,True,True,True,True
46,38114654,True,True,True,True,True
47,41681250,True,True,True,True,True
48,52774459,True,True,True,True,True
49,69513799,True,True,True,True,True
50,24249690,True,True,True,True,True
51,12101113,True,True,True,True,True
52,32737137,True,True,True,True,True
53,45652772,True,True,True,True,True
54,44697714,True,True,True,True,True
