,id,DISCUSSES_API,run1_result,run2_result,run3_result,final_result
0,36925354,False,False,False,False,False
1,32967201,False,False,False,False,False
2,45748016,False,True,True,True,True
3,38256104,True,False,False,False,False
4,32801806,True,True,True,True,True
5,33088010,False,True,True,True,True
6,40339886,True,True,True,True,True
7,33001585,False,True,True,True,True
8,29806936,True,True,True,True,True
9,39046931,True,True,True,True,True
10,11637384,False,True,True,True,True
11,71258548,True,True,True,True,True
12,59132467,True,False,False,False,False
13,41103800,True,True,True,True,True
14,39862654,True,True,True,True,True
15,57795399,False,False,False,False,False
16,55695924,False,True,True,True,True
17,35830833,True,True,True,True,True
18,71565413,True,True,True,True,True
19,51715082,False,False,True,True,True
20,49583500,True,False,False,False,False
21,47113449,True,True,True,False,True
22,45635539,True,False,False,False,False
23,30518588,True,True,True,True,True
24,65773511,True,True,True,True,True
25,68917844,True,True,True,True,True
26,19590966,True,True,True,True,True
27,45511085,False,True,True,True,True
28,37360929,True,True,True,True,True
29,56782842,False,False,False,False,False
30,44294936,False,True,True,True,True
31,43897018,True,True,True,True,True
32,70819937,True,True,True,True,True
33,75039860,False,True,True,True,True
34,21655629,True,True,True,True,True
35,72657415,False,True,True,True,True
36,71545135,True,True,True,True,True
37,74087564,False,True,True,True,True
38,30644769,True,True,True,True,True
39,33771675,False,False,False,False,False
40,48519236,False,False,False,False,False
41,29929639,False,True,True,True,True
42,29138743,False,False,False,False,False
43,55484356,False,True,True,True,True
44,38543800,True,False,False,False,False
45,61897319,False,True,True,True,True
46,60237702,True,True,True,True,True
47,44568806,False,False,False,False,False
48,11761884,True,True,True,True,True
49,53002047,True,False,False,False,False
50,12193253,True,True,True,True,True
51,53927219,True,True,True,True,True
52,53853826,True,True,True,True,True
