,id,DISCUSSES_API,run1_result,run2_result,run3_result,final_result
0,31362573,False,False,False,False,False
1,41845773,False,False,False,False,False
2,43173297,False,True,True,True,True
3,46693095,False,True,True,True,True
4,50653962,False,True,True,True,True
5,52092405,False,False,False,False,False
6,65254535,True,False,False,False,False
7,32591466,True,True,True,True,True
8,17834995,True,False,False,False,False
9,22937650,True,True,True,True,True
10,26474693,True,True,True,True,True
11,38560748,True,True,True,True,True
12,49801060,True,True,True,True,True
13,47857112,True,True,True,True,True
14,43367805,True,True,True,True,True
15,47975866,True,True,True,True,True
16,57348149,True,True,True,True,True
17,50695778,True,True,True,True,True
18,54890013,True,True,True,True,True
19,41128526,True,True,True,True,True
20,48977649,True,True,True,True,True
21,47768950,True,True,True,True,True
22,50091272,True,True,True,True,True
23,19760741,True,True,True,True,True
24,38476733,True,True,True,True,True
25,50472696,True,True,True,True,True
26,30765820,True,True,True,True,True
27,59196316,True,True,True,True,True
28,65330288,True,True,True,True,True
29,75382340,True,True,True,True,True
30,21947813,True,True,True,True,True
31,39322930,True,False,False,False,False
32,55239010,True,True,True,True,True
33,45700658,True,True,True,True,True
34,44317615,True,True,True,True,True
35,47234997,True,True,True,True,True
