"Paragraph","Tasks"
"CoreNLP includes a simple web API server for servicing your human language understanding needs (starting with version 3.6.0). This page describes how to set it up. CoreNLP server provides both a convenient graphical way to interface with your installation of CoreNLP and an API with which to call CoreNLP using any programming language. If you’re writing a new wrapper of CoreNLP for using it in another language, you’re advised to do it using the CoreNLP Server.","include simple web API server for servicing
call CoreNLP
use programming language
write new wrapper of CoreNLP
use  in language
use CoreNLP server"
"Stanford CoreNLP ships with a built-in server, which requires only the CoreNLP dependencies. To run this server, simply run:","run server"
"If you want to process non-English languages, use this command with the appropriate language properties:","process non-english languages
use command with appropriate language properties"
"If no value for port is provided, port 9000 will be used by default. You can then test your server by visiting","use port
provide value for port
test server by visiting"
"You should see a website similar to corenlp.run, with an input box for text and a list of annotators you can run. From this interface, you can test out each of the annotators by adding/removing them from this list. (Note: The first use will be slow to respond while models are loaded – it might take 30 seconds or so, but after that the server should run quite quickly.) You can test out the API by sending a POST request to the server with the appropriate properties. An easy way to do this is with wget. The following will annotate the sentence “the quick brown fox jumped over the lazy dog” with part of speech tags:","run annotators
send POST request to server"
"Or finally, here’s a minimal Python program that interfaces with this endpoint using the requests library:","use requests library"
"The rest of this document: describes the API in more detail, describes a Java client to the API as a drop-in replacement for the StanfordCoreNLP annotator pipeline, and talks about administering the server. If you’re using Python or another programming language, we don’t suggest that you start with the minimal example above, but rather first look through available other language APIs that use the CoreNLP server.","use Python
use programming language
use CoreNLP server
use available other language apis"
"NOTE: Please do not make API calls against corenlp.run. It is not set up to handle a large volume of requests. Instructions for setting up your own server can be found in the Dedicated Server section.","handle large volume of requests
set up own server"
"This endpoint takes as input a JSON-formatted properties string under the key properties=, and as POSTdata text to annotate. The properties should mirror the properties file passed into the CoreNLP command line, except formatted as a JSON object. The POST data should be percent-encoded (otherwise known as URL encoded). In particular, you shoud esapce a % sign as %25. (Interfaces calling CoreNLP via the web service should do this escaping for their users.)","pass  into CoreNLP command line
format  as JSON object"
"For example, the following command will tokenize the input text, run part of speech tagging, and output the result as JSON to standard out:","tokenize output as JSON
tokenize output of speech tagging
tokenize output to standard out
tokenize input text as JSON
tokenize input text of speech tagging
tokenize input text to standard out
tokenize run part as JSON
tokenize run part of speech tagging
tokenize run part to standard out"
