,id,DISCUSSES_API,result
0,35414625,True,True
1,13261175,True,True
2,17978009,True,True
3,21646710,True,True
4,11869910,False,False
5,12860421,False,False
6,16860172,False,True
7,18889588,False,False
8,25695986,False,False
9,31498390,False,False
10,32552027,False,False
11,33149428,False,False
12,33290374,False,False
13,37265312,False,False
14,38413579,False,False
15,42921854,False,False
16,43821529,False,False
17,50607740,False,False
18,51174691,False,False
19,55204418,False,False
20,20119414,False,False
21,38951345,False,True
22,43172970,False,False
23,43756052,False,True
24,24640399,False,False
25,31661604,False,True
26,39273441,False,True
27,42099024,False,True
28,42708193,False,False
29,43728304,False,True
30,44513488,False,True
31,46859400,False,True
32,48135994,False,False
33,42876278,False,True
34,34268418,False,True
35,34727716,False,True
36,35652270,False,False
37,36337111,False,True
38,36346071,False,True
