,id,DISCUSSES_API,result
0,11622652,False,True
1,20680272,False,False
2,34447448,False,True
3,23569771,False,True
4,31888856,False,True
5,39000481,False,False
6,28976546,False,False
7,45732459,False,True
8,56837418,False,True
9,21269399,True,True
10,10867028,True,True
11,20637439,True,True
12,33952142,True,True
13,15017072,True,True
14,15026698,True,True
15,31700691,True,False
16,17557074,True,True
17,12960574,True,True
18,18366797,True,True
19,20696479,True,True
20,25669588,True,True
21,39263929,True,True
22,15210962,True,True
23,28382735,True,True
24,34139102,True,True
25,40769691,True,True
26,28284912,True,True
27,26595819,True,True
28,38716643,True,True
29,41235111,True,True
30,36909368,True,True
31,47368296,True,True
32,26495408,True,True
33,31194669,True,True
34,30494569,True,True
35,29862864,True,True
36,14002158,True,False
37,42165649,True,True
38,20095983,True,True
39,22809061,True,True
40,31362573,True,True
41,31620667,True,True
42,13824840,True,True
43,13719946,True,True
44,20689288,True,False
45,49532873,True,True
46,38114654,True,True
47,41681250,True,True
48,52774459,True,True
49,69513799,True,True
50,24249690,True,True
51,12101113,True,True
52,32737137,True,True
53,45652772,True,True
54,44697714,True,True
