"Paragraph","Tasks"
"orjson is a fast, correct JSON library for Python. It
benchmarks as the fastest Python
library for JSON and is more correct than the standard json library or other
third-party libraries. It serializes
dataclass,
datetime,
numpy, and
UUID instances natively.","serialize dataclass
serialize datetime
serialize numpy
serialize UUID instances"
"orjson supports CPython 3.7, 3.8, 3.9, and 3.10. It distributes x86_64/amd64
and aarch64/armv8 wheels for Linux and macOS. It distributes x86_64/amd64 wheels
for Windows. orjson does not support PyPy. Releases follow semantic
versioning and serializing a new object type without an opt-in flag is
considered a breaking change.","support cpython"
"To install a wheel from PyPI:","install wheel from pypi"
"This is an example of serializing, with options specified, and deserializing:","serialize  with options
deserialize  with options"
"orjson version 3 serializes more types than version 2. Subclasses of str,
int, dict, and list are now serialized. This is faster and more similar
to the standard library. It can be disabled with
orjson.OPT_PASSTHROUGH_SUBCLASS.dataclasses.dataclass instances
are now serialized by default and cannot be customized in a
default function unless option=orjson.OPT_PASSTHROUGH_DATACLASS is
specified. uuid.UUID instances are serialized by default.
For any type that is now serialized,
implementations in a default function and options enabling them can be
removed but do not need to be. There was no change in deserialization.","serialize more types than version
serialize subclasses of str
serialize dataclasses.dataclass instances
specify option = orjson.OPT_PASSTHROUGH_DATACLASS
serialize uuid.UUID instances
remove implementations in default function
remove implementations in options
remove implementations for type"
"To migrate from the standard library, the largest difference is that
orjson.dumps returns bytes and json.dumps returns a str. Users with
dict objects using non-str keys should specify
option=orjson.OPT_NON_STR_KEYS. sort_keys is replaced by
option=orjson.OPT_SORT_KEYS. indent is replaced by
option=orjson.OPT_INDENT_2 and other levels of indentation are not
supported.","use non
replace sort_keys
replace indent"
"dumps() serializes Python objects to JSON.","serialize Python objects to JSON"
"It natively serializes
str, dict, list, tuple, int, float, bool,
dataclasses.dataclass, typing.TypedDict, datetime.datetime,
datetime.date, datetime.time, uuid.UUID, numpy.ndarray, and
None instances. It supports arbitrary types through default. It
serializes subclasses of str, int, dict, list,
dataclasses.dataclass, and enum.Enum. It does not serialize subclasses
of tuple to avoid serializing namedtuple objects as arrays. To avoid
serializing subclasses, specify the option orjson.OPT_PASSTHROUGH_SUBCLASS.","serialize none
serialize str
serialize dict
serialize list
serialize tuple
serialize int
serialize float
serialize bool
serialize dataclasses.dataclass
serialize typing.TypedDict
serialize datetime.datetime
serialize datetime.date
serialize datetime.time
serialize uuid.UUID
serialize numpy.ndarray
support arbitrary types through default
serialize subclasses of str
serialize namedtuple objects as arrays
specify option orjson.OPT_PASSTHROUGH_SUBCLASS"
"It raises JSONEncodeError on an unsupported type. This exception message
describes the invalid object with the error message
Type is not JSON serializable: .... To fix this, specify
default.","raise JSONEncodeError on unsupported type
specify default"
"It raises JSONEncodeError on a str that contains invalid UTF-8.","raise JSONEncodeError on str UTF-8"
"It raises JSONEncodeError on an integer that exceeds 64 bits by default or,
with OPT_STRICT_INTEGER, 53 bits.","raise JSONEncodeError on integer"
"It raises JSONEncodeError if a dict has a key of a type other than str,
unless OPT_NON_STR_KEYS is specified.","raise JSONEncodeError
specify OPT_NON_STR_KEYS"
"It raises JSONEncodeError if the output of default recurses to handling by
default more than 254 levels deep.","raise JSONEncodeError"
"It raises JSONEncodeError on circular references.","raise JSONEncodeError on circular references"
"It raises JSONEncodeError  if a tzinfo on a datetime object is
unsupported.","raise JSONEncodeError"
"To serialize a subclass or arbitrary types, specify default as a
callable that returns a supported type. default may be a function,
lambda, or callable class instance. To specify that a type was not
handled by default, raise an exception such as TypeError.","serialize subclass arbitrary types specify default as callable
raise exception such_as TypeError"
"The default callable may return an object that itself
must be handled by default up to 254 times before an exception
is raised.","raise exception"
"It is important that default raise an exception if a type cannot be handled.
Python otherwise implicitly returns None, which appears to the caller
like a legitimate value and is serialized:","raise exception
serialize none"
"To modify how data is serialized, specify option. Each option is an integer
constant in orjson. To specify multiple options, mask them together, e.g.,
option=orjson.OPT_STRICT_INTEGER | orjson.OPT_NAIVE_UTC.","specify option
serialize data
specify multiple options"
"This measures serializing the github.json fixture as compact (52KiB) or
pretty (64KiB):","serialize github.json fixture"
"rapidjson is blank because it does not support pretty printing. This can be
reproduced using the pyindent script.","use pyindent script"
"Serialize datetime.datetime objects without a tzinfo as UTC. This
has no effect on datetime.datetime objects that have tzinfo set.","serialize datetime.datetime objects without tzinfo"
"Serialize dict keys of type other than str. This allows dict keys
to be one of str, int, float, bool, None, datetime.datetime,
datetime.date, datetime.time, enum.Enum, and uuid.UUID. For comparison,
the standard library serializes str, int, float, bool or None by
default. orjson benchmarks as being faster at serializing non-str keys
than other libraries. This option is slower for str keys than the default.","serialize none by default
serialize none for comparison
serialize str by default
serialize str for comparison
serialize int by default
serialize int for comparison
serialize float by default
serialize float for comparison
serialize bool by default
serialize bool for comparison
serialize non"
"These types are generally serialized how they would be as
values, e.g., datetime.datetime is still an RFC 3339 string and respects
options affecting it. The exception is that int serialization does not
respect OPT_STRICT_INTEGER.","serialize types"
"This option has the risk of creating duplicate keys. This is because non-str
objects may serialize to the same str as an existing key, e.g.,
{""1"": true, 1: false}. The last key to be inserted to the dict will be
serialized last and a JSON deserializer will presumably take the last
occurrence of a key (in the above, false). The first value will be lost.","serialize  to same str
insert  to dict
serialize last key"
"This measures serializing 589KiB of JSON comprising a list of 100 dict
in which each dict has both 365 randomly-sorted int keys representing epoch
timestamps as well as one str key and the value for each key is a
single integer. In ""str keys"", the keys were converted to str before
serialization, and orjson still specifes option=orjson.OPT_NON_STR_KEYS
(which is always somewhat slower).","serialize 589KiB of JSON
convert keys in str keys"
"ujson is blank for sorting because it segfaults. json is blank because it
raises TypeError on attempting to sort before converting all keys to str.
rapidjson is blank because it does not support non-str keys. This can
be reproduced using the pynonstr script.","raise TypeError on attempting
convert keys to str
sort  before converting
use pynonstr script"
"Passthrough dataclasses.dataclass instances to default. This allows
customizing their output but is much slower.","customize output"
