id,,result,HAS_API,DISCUSSES_API
33149428,https://stackoverflow.com/questions/33149428,TRUE,TRUE,TRUE
34828701,https://stackoverflow.com/questions/34828701,TRUE,TRUE,FALSE
39013425,https://stackoverflow.com/questions/39013425,TRUE,TRUE,TRUE
38983145,https://stackoverflow.com/questions/38983145,TRUE,TRUE,TRUE
58957532,https://stackoverflow.com/questions/58957532,TRUE,TRUE,TRUE
70306401,https://stackoverflow.com/questions/70306401,TRUE,TRUE,TRUE
43478659,https://stackoverflow.com/questions/43478659,TRUE,TRUE,TRUE
50095188,https://stackoverflow.com/questions/50095188,TRUE,TRUE,TRUE
53567257,https://stackoverflow.com/questions/53567257,TRUE,TRUE,TRUE
68900264,https://stackoverflow.com/questions/68900264,TRUE,TRUE,TRUE
38779638,https://stackoverflow.com/questions/38779638,TRUE,TRUE,FALSE
60223951,https://stackoverflow.com/questions/60223951,TRUE,TRUE,TRUE
62201784,https://stackoverflow.com/questions/62201784,TRUE,TRUE,TRUE
42648108,https://stackoverflow.com/questions/42648108,TRUE,TRUE,FALSE
50158081,https://stackoverflow.com/questions/50158081,TRUE,TRUE,FALSE
39560099,https://stackoverflow.com/questions/39560099,TRUE,FALSE,FALSE
43544694,https://stackoverflow.com/questions/43544694,TRUE,FALSE,FALSE
34917727,https://stackoverflow.com/questions/34917727,TRUE,FALSE,FALSE
35248976,https://stackoverflow.com/questions/35248976,TRUE,FALSE,FALSE
41778964,https://stackoverflow.com/questions/41778964,TRUE,FALSE,FALSE
56876823,https://stackoverflow.com/questions/56876823,TRUE,FALSE,FALSE
42309134,https://stackoverflow.com/questions/42309134,TRUE,FALSE,FALSE
23909249,https://stackoverflow.com/questions/23909249,TRUE,FALSE,FALSE
23000418,https://stackoverflow.com/questions/23000418,TRUE,FALSE,FALSE
23021807,https://stackoverflow.com/questions/23021807,TRUE,FALSE,FALSE
34251641,https://stackoverflow.com/questions/34251641,TRUE,FALSE,FALSE
21447530,https://stackoverflow.com/questions/21447530,TRUE,FALSE,FALSE
34100209,https://stackoverflow.com/questions/34100209,TRUE,FALSE,FALSE
40660475,https://stackoverflow.com/questions/40660475,TRUE,FALSE,FALSE
27365601,https://stackoverflow.com/questions/27365601,TRUE,FALSE,FALSE
56631193,https://stackoverflow.com/questions/56631193,TRUE,FALSE,FALSE
56776919,https://stackoverflow.com/questions/56776919,TRUE,FALSE,FALSE
22623324,https://stackoverflow.com/questions/22623324,TRUE,FALSE,FALSE
64342716,https://stackoverflow.com/questions/64342716,TRUE,FALSE,FALSE
40832032,https://stackoverflow.com/questions/40832032,TRUE,FALSE,FALSE
63942111,https://stackoverflow.com/questions/63942111,TRUE,FALSE,FALSE
37865361,https://stackoverflow.com/questions/37865361,TRUE,FALSE,FALSE
34752351,https://stackoverflow.com/questions/34752351,TRUE,FALSE,FALSE
71176571,https://stackoverflow.com/questions/71176571,TRUE,FALSE,FALSE
67688982,https://stackoverflow.com/questions/67688982,TRUE,FALSE,FALSE
56893150,https://stackoverflow.com/questions/56893150,TRUE,FALSE,FALSE
53806207,https://stackoverflow.com/questions/53806207,TRUE,FALSE,FALSE
53159173,https://stackoverflow.com/questions/53159173,TRUE,FALSE,FALSE
68468985,https://stackoverflow.com/questions/68468985,TRUE,FALSE,FALSE
55423048,https://stackoverflow.com/questions/55423048,TRUE,FALSE,FALSE
60323023,https://stackoverflow.com/questions/60323023,TRUE,FALSE,FALSE
64386761,https://stackoverflow.com/questions/64386761,TRUE,FALSE,FALSE
