id,,HAS_API,DISCUSSES_API
11976503,https://stackoverflow.com/questions/11976503,FALSE,FALSE
38256104,https://stackoverflow.com/questions/38256104,FALSE,FALSE
13636848,https://stackoverflow.com/questions/13636848,FALSE,FALSE
37697195,https://stackoverflow.com/questions/37697195,FALSE,FALSE
9787853,https://stackoverflow.com/questions/9787853,FALSE,FALSE
29351840,https://stackoverflow.com/questions/29351840,FALSE,FALSE
29761915,https://stackoverflow.com/questions/29761915,FALSE,FALSE
45869886,https://stackoverflow.com/questions/45869886,FALSE,FALSE
50168532,https://stackoverflow.com/questions/50168532,FALSE,FALSE
46563833,https://stackoverflow.com/questions/46563833,FALSE,FALSE
46732760,https://stackoverflow.com/questions/46732760,FALSE,FALSE
49671693,https://stackoverflow.com/questions/49671693,FALSE,FALSE
25095971,https://stackoverflow.com/questions/25095971,FALSE,FALSE
48051100,https://stackoverflow.com/questions/48051100,FALSE,FALSE
52783391,https://stackoverflow.com/questions/52783391,FALSE,FALSE
32250200,https://stackoverflow.com/questions/32250200,FALSE,FALSE
39276249,https://stackoverflow.com/questions/39276249,FALSE,FALSE
49522818,https://stackoverflow.com/questions/49522818,FALSE,FALSE
53645882,https://stackoverflow.com/questions/53645882,TRUE,TRUE
41815079,https://stackoverflow.com/questions/41815079,TRUE,TRUE
31528819,https://stackoverflow.com/questions/31528819,TRUE,TRUE
44367672,https://stackoverflow.com/questions/44367672,TRUE,FALSE
28174752,https://stackoverflow.com/questions/28174752,TRUE,TRUE
38242368,https://stackoverflow.com/questions/38242368,TRUE,TRUE
20206615,https://stackoverflow.com/questions/20206615,TRUE,TRUE
37095161,https://stackoverflow.com/questions/37095161,TRUE,TRUE
27065133,https://stackoverflow.com/questions/27065133,TRUE,TRUE
32676027,https://stackoverflow.com/questions/32676027,TRUE,TRUE
21201618,https://stackoverflow.com/questions/21201618,TRUE,TRUE
23940181,https://stackoverflow.com/questions/23940181,TRUE,TRUE
53688988,https://stackoverflow.com/questions/53688988,TRUE,TRUE
24614474,https://stackoverflow.com/questions/24614474,TRUE,TRUE
54673783,https://stackoverflow.com/questions/54673783,TRUE,TRUE
51057924,https://stackoverflow.com/questions/51057924,TRUE,TRUE
39985861,https://stackoverflow.com/questions/39985861,TRUE,TRUE
29280393,https://stackoverflow.com/questions/29280393,TRUE,TRUE
34227038,https://stackoverflow.com/questions/34227038,TRUE,TRUE
44937462,https://stackoverflow.com/questions/44937462,TRUE,FALSE
50020683,https://stackoverflow.com/questions/50020683,TRUE,FALSE
43394450,https://stackoverflow.com/questions/43394450,TRUE,TRUE
25688524,https://stackoverflow.com/questions/25688524,TRUE,FALSE
47131361,https://stackoverflow.com/questions/47131361,TRUE,TRUE
43059350,https://stackoverflow.com/questions/43059350,TRUE,TRUE
19452653,https://stackoverflow.com/questions/19452653,TRUE,FALSE
58276538,https://stackoverflow.com/questions/58276538,TRUE,FALSE
28143694,https://stackoverflow.com/questions/28143694,TRUE,FALSE
49120364,https://stackoverflow.com/questions/49120364,TRUE,FALSE
42812216,https://stackoverflow.com/questions/42812216,TRUE,TRUE
27251301,https://stackoverflow.com/questions/27251301,TRUE,TRUE
40575486,https://stackoverflow.com/questions/40575486,FALSE,FALSE
40621301,https://stackoverflow.com/questions/40621301,FALSE,FALSE
35235778,https://stackoverflow.com/questions/35235778,FALSE,FALSE
45262134,https://stackoverflow.com/questions/45262134,TRUE,FALSE
59723198,https://stackoverflow.com/questions/59723198,FALSE,FALSE
34369445,https://stackoverflow.com/questions/34369445,FALSE,FALSE
40052981,https://stackoverflow.com/questions/40052981,TRUE,FALSE
46386402,https://stackoverflow.com/questions/46386402,TRUE,TRUE
40533467,https://stackoverflow.com/questions/40533467,TRUE,FALSE
40566541,https://stackoverflow.com/questions/40566541,FALSE,FALSE
45796018,https://stackoverflow.com/questions/45796018,FALSE,FALSE
57304607,https://stackoverflow.com/questions/57304607,TRUE,FALSE
