,id,,heuristic result,HAS_API,DISCUSSES_API,,,LSA_summary
15,50607740,https://stackoverflow.com/questions/50607740,TRUE,TRUE,FALSE,,,"Reverse a get_dummies encoding in pandas Column names are: ID,1,2,3,4,5,6,7,8,9. The col values are either 0 or 1 My dataframe looks like this: I want the column names in front of the ID where the value in a row is 1."
16,37265312,https://stackoverflow.com/questions/37265312,TRUE,TRUE,TRUE,,,"How to create dummies for certain columns with pandas.get_dummies() I just want Column A and D to get dummies not for Column B. If I used pd.get_dummies(df), all columns turned into dummies."
17,18889588,https://stackoverflow.com/questions/18889588,TRUE,TRUE,TRUE,,,"Create dummies from column with multiple values in pandas I am looking for for a pythonic way to handle the following problem. For example, if the column has values in ['A', 'B'], get_dummies() creates 2 dummy variables and assigns 0 or 1 accordingly."
18,31498390,https://stackoverflow.com/questions/31498390,TRUE,TRUE,TRUE,,,how to get pandas get_dummies to emit N-1 variables to avoid collinearity? pandas.get_dummies emits a dummy variable per categorical value.
19,38413579,https://stackoverflow.com/questions/38413579,TRUE,TRUE,TRUE,,,What is the difference between sklearn LabelEncoder and pd.get_dummies? What is the advantage of using one over another?
20,31888856,https://stackoverflow.com/questions/31888856,TRUE,TRUE,FALSE,,,"I've tried loading it into a dense matrix first with read_csv and then calling to_sparse, but it takes a long time and chokes on text fields, although most of the data is floating point. This happens even if I strip the zeros out of the original file and call to_sparse() (so that the fill value is NaN)."
21,28465633,https://stackoverflow.com/questions/28465633,TRUE,TRUE,TRUE,,,Easy way to apply transformation from `pandas.get_dummies` to new data? Now I have a single new observation that I want to run through my model.
22,48170405,https://stackoverflow.com/questions/48170405,TRUE,TRUE,TRUE,,,"Is pd.get_dummies one-hot encoding? Given the difference between one-hot encoding and dummy coding, is the pandas.get_dummies method one-hot encoding when using default parameters (i.e. drop_first=False)?"
23,26724872,https://stackoverflow.com/questions/26724872,TRUE,TRUE,FALSE,,,
24,29221894,https://stackoverflow.com/questions/29221894,TRUE,TRUE,FALSE,,,
25,34529542,https://stackoverflow.com/questions/34529542,TRUE,TRUE,FALSE,,,
26,37381862,https://stackoverflow.com/questions/37381862,TRUE,TRUE,TRUE,,,
27,39923927,https://stackoverflow.com/questions/39923927,TRUE,TRUE,FALSE,,,
28,43334222,https://stackoverflow.com/questions/43334222,TRUE,TRUE,FALSE,,,
29,47127388,https://stackoverflow.com/questions/47127388,TRUE,TRUE,FALSE,,,
30,50138787,https://stackoverflow.com/questions/50138787,TRUE,TRUE,TRUE,,,
31,52072821,https://stackoverflow.com/questions/52072821,TRUE,TRUE,FALSE,,,
32,53002047,https://stackoverflow.com/questions/53002047,TRUE,TRUE,FALSE,,,
33,53004426,https://stackoverflow.com/questions/53004426,TRUE,TRUE,TRUE,,,
34,54411582,https://stackoverflow.com/questions/54411582,TRUE,TRUE,TRUE,,,
