API,post_id,final_result
requests.RequestException,49099313,True
requests.ConnectionError,74253820,True
requests.HTTPError,19342111,False
requests.TooManyRedirects,43421026,False
requests.ConnectTimeout,68294548,False
requests.ReadTimeout,66673389,False
requests.Timeout,21965484,False
requests.JSONDecodeError,52488117,False
requests.Session.close,49253246,True
requests.Session.patch,57599574,False
requests.Session.post,74036046,True
requests.Session.request,52299667,False
requests.Response,47193745,True
requests.PreparedRequest,72690927,False
requests.auth.AuthBase,17427507,False
requests.utils.dict_from_cookiejar,13971649,False
requests.utils.add_dict_to_cookiejar,40692514,True
requests.cookies.RequestsCookieJar.get,68140641,False
requests.cookies.RequestsCookieJar.set,75514573,False
requests.cookies.CookieConflictError,25589021,False
requests.ConnectionError,67474679,False
requests.HTTPError,69782728,False
requests.TooManyRedirects,23651947,True
requests.ConnectTimeout,77319906,False
requests.ReadTimeout,76222354,False
requests.Timeout,61974206,False
requests.JSONDecodeError,56594317,False
requests.Session.close,55354427,False
requests.Session.post,71943475,True
requests.Session.request,41314953,False
requests.Response,19568950,True
requests.auth.AuthBase,68374804,True
requests.cookies.RequestsCookieJar.get,42720830,False
requests.cookies.RequestsCookieJar.set,56931598,False
requests.cookies.CookieConflictError,14873277,True
requests.ConnectionError,40990472,False
requests.HTTPError,66908549,False
requests.TooManyRedirects,48388552,False
requests.ConnectTimeout,75618304,False
requests.ReadTimeout,58165021,False
requests.Timeout,59197263,False
requests.JSONDecodeError,76326769,False
requests.Session.close,71821057,True
requests.Session.post,68942161,False
requests.Session.request,46878216,False
requests.Response,43616566,False
requests.cookies.RequestsCookieJar.get,25091976,False
requests.cookies.RequestsCookieJar.set,69990660,False
requests.ConnectionError,21407147,False
requests.HTTPError,66370259,True
requests.TooManyRedirects,46881720,False
requests.ConnectTimeout,51144752,False
requests.Timeout,50032614,False
requests.JSONDecodeError,74838554,False
requests.Session.post,42118029,False
requests.Session.request,25253134,False
requests.Response,42014301,False
requests.cookies.RequestsCookieJar.get,74964777,False
requests.cookies.RequestsCookieJar.set,68278888,False
requests.ConnectionError,64658898,True
requests.HTTPError,16206062,False
requests.TooManyRedirects,27766515,False
requests.Timeout,40009499,False
