urllib3.response.HTTPResponse,47984230,no
urllib3.response.HTTPResponse.getheader,75382508,no
urllib3.response.HTTPResponse.read,61592735,yes
urllib3.exceptions.HeaderParsingError,70176892,yes
urllib3.exceptions.InsecureRequestWarning,76293394,no
urllib3.exceptions.InvalidChunkLength,76570434,no
urllib3.exceptions.LocationValueError,57380403,no
urllib3.exceptions.MaxRetryError,57867838,no
urllib3.exceptions.ProtocolError,51799251,no
urllib3.exceptions.ReadTimeoutError,54856587,no
urllib3.PoolManager.clear,73370126,no
urllib3.connection.HTTPConnection,63088261,no
urllib3.connection.HTTPConnection.close,58345555,no
urllib3.connection.HTTPSConnection,76097342,no
urllib3.response.HTTPResponse,68677122,yes
urllib3.exceptions.MaxRetryError,63088261,no
urllib3.exceptions.ProtocolError,76570434,yes
urllib3.connection.HTTPConnection,78061206,no
urllib3.connection.HTTPSConnection,74621849,no
urllib3.exceptions.MaxRetryError,77385976,yes
urllib3.exceptions.ProtocolError,58509329,no
urllib3.connection.HTTPConnection,77702434,no
urllib3.connection.HTTPSConnection,64008786,no
urllib3.exceptions.MaxRetryError,76097342,no
urllib3.connection.HTTPConnection,77514885,no
urllib3.exceptions.MaxRetryError,75904821,no
urllib3.connection.HTTPConnection,75957723,no
urllib3.exceptions.MaxRetryError,74186169,no
urllib3.connection.HTTPConnection,61442596,no
