,id,HAS_API,DISCUSSES_API,discusses_api_result,lexrank_summary
0,48348828,False,False,False,"I am using Python with numpy to do linear algebra. How can I get numpy to express the i matrix as a diagonal matrix like so: [[12.22151125, 0, 0, 0],[0,4.92815942, 0, 0],[0,0,2.06380839,0 ],[0,0,0,0.29766152]] Code I am using: So I want i to be a full diagonal matrix."
1,62250799,False,False,False,"I essentially have a confusion matrix of size n x n with all my diagonal elements being 1. For every row, I wish to calculate its mean, excluding the 1, i.e. excluding the diagonal value."
2,12065649,False,False,False,I have a matrix that should have ones on the diagonal but the columns are mixed up. I'm not even sure what key I would pass to sort on.
3,21818140,True,False,True,Very simple question: I have a structured array with multiple columns and I'd like to fill only some of them (but more than one) with another preexisting array. This is what I'm trying: This gives me this future warning: main:1: FutureWarning: Numpy has detected that you (may be) writing to an array returned by numpy.diagonal or by selecting multiple fields in a record array.
4,10831417,False,False,False,"I am searching for a neat way to extract the diagonal blocks of size 2x2 that lie along the main diagonal of a (2N)x(2N) numpy array (that is, there will be N such blocks). This generalises numpy.diag, which returns elements along the main diagonal, that one might think of as 1x1 blocks (though of course numpy doesn't represent them this way)."
5,40261325,False,False,False,Fill matrix diagonal with different values for each python numpy. I saw a function numpy.fill_diagonal which assigns same value for diagonal elements.
6,10768007,False,False,False,Is there a function in numpy to replace lower and upper diagonal values of a numpy array?. To replace the main diagonal I have used np.fill_diagonal: but I also need to replace the upper and lower diagonals that are next to the main diagonal: to get: thank you
7,27875931,True,False,False,Numpy: Affect diagonal elements of matrix prior to 1.10. I would like to change diagonal elements from a 2d matrix.
8,58139494,False,False,False,"How can I create a diagonal matrix with numpy?. I do not want to modify an existing array, I want to create a new array."
9,14758283,False,False,False,"Is there a numpy/scipy dot product, calculating only the diagonal entries of the result?. Imagine having 2 numpy arrays: Typically p is a smaller number (p <= 200), while n can be arbitrarily large."
10,53860882,False,False,False,How to calculate sum of abs of all off-diagonal elements of a numpy array?. I'm new to numpy and I want to calculate the sum of abs of all off-diagonal elements of a numpy array.
11,29230650,False,False,False,Zero out matrix higher diagonal using numpy. Let's say we have a n x n matrix.
12,50491504,False,False,False,"How to create an anti-diagonal identity matrix (where the diagonal is flipped left to right) in numpy. I can surely do it manually, but curious if there is a function for it."
13,25113682,False,False,False,"Acces all off diagonal elements of boolean numpy matrix. Suppose there is a diagonal matrix M: Does anybody know a simple way to access all off diagonal elements, meaning all elements that are False?"
14,24146629,False,False,False,3D numpy array into block diagonal matrix. I am looking for a way to convert a nXaXb numpy array into a block diagonal matrix.
15,9958577,False,False,False,changing the values of the diagonal of a matrix in numpy. how can I change the values of the diagonal of a matrix in numpy?
16,16114333,False,False,False,"getting the opposite diagonal of a numpy array. So in numpy arrays there is the built in function for getting the diagonal indices, but I can't seem to figure out how to get the diagonal starting from the top right rather than top left."
17,29978938,False,False,False,"I have figured out how to compute the matrix of outer products of its rows transposed Create array of outer products in numpy This yields a 1000x100x100 numpy array D. I'd like to store each of the D[i,:,:] as one of the block diagonals of a sparse matrix of size 1000*100^2 x 1000*100^2. Some of the entries of E need to be manipulated at first (hence ""lil"")."
18,71434639,False,False,False,"Fill diagonal in 3D numpy array. Given 3D arr, I would like to fill all dioganal element equal to 1. expected outpud Assign the fill_diagonal as below return an error ValueError: All dimensions of input must be of equal length May I know how to properly fill diagonal equal to 1 for a 3d array arr[:,:,0] = np.diag((1,1)) ValueError: could not broadcast input array from shape (2,2) into shape (3,4) Using for-loop with the fill_diagonal"
19,74054138,False,False,False,"Fastest way to expand the values of a numpy matrix in diagonal blocks. I'm searching for a fast way for resize the matrix in a special way, without using for-loops: I have a squared Matrix: and my purpose is to resize it 3 (or n) times, where the values are diagonal blocks in the matrix and other values are zeros: It should do something like this question, but without unnecessary zero padding."
20,27214027,False,False,False,how to construct diagonal array using a 2d array in numpy?. Using np.diag I'm able to construct a 2-D array where a 1-D array is input is returned on the diagonal.
21,26998204,True,False,False,NumPy - Sum of the elements on the secondary diagnoal of a 2D matrix. How can I get the sum of the elements on the secondary diagonal of a matrix?
22,23677258,False,False,False,numpy multidimensional indexing and diagonal symmetries. I have a pretty large numpy array ... which is symmetric w.r.t.
23,47357744,False,False,False,"numpy linear algebra on diagonal arrays without explicit duplication. I have an array w (shape (3000, 100, 100)) which I want to multiply with another array e (shape (5, 3000)) such that the result k has shape (5, 5, 100, 100) and Since w is so large, it's not practical to make some super_w array with shape (3000, 3000, 100, 100) and explicitly populate the main diagonal."
24,43047433,False,False,False,"How do I fill ""partial diagonal axis"" of a numpy array. I want to have for every i."
