Paragraph,Ground Truth link,Program link,Partial ratio
Most implementations will specify a success handler:,"$.get( ""ajax/test.html"", function( data ) {
  $( "".result"" ).html( data );
  alert( ""load was performed."" );
});","$.get( ""ajax/test.html"", function( data ) {",56
Most implementations will specify a success handler:,"$.get( ""ajax/test.html"", function( data ) {
  $( "".result"" ).html( data );
  alert( ""load was performed."" );
});","$( "".result"" ).html( data );",41
Most implementations will specify a success handler:,"$.get( ""ajax/test.html"", function( data ) {
  $( "".result"" ).html( data );
  alert( ""load was performed."" );
});","alert( ""load was performed."" );",44
Most implementations will specify a success handler:,"$.get( ""ajax/test.html"", function( data ) {
  $( "".result"" ).html( data );
  alert( ""load was performed."" );
});",});,5
Most implementations will specify a success handler:,"$.get( ""ajax/test.html"", function( data ) {
  $( "".result"" ).html( data );
  alert( ""load was performed."" );
});","$.get( ""ajax/test.html"", function( data ) {  $( "".result"" ).html( data );  alert( ""load was performed."" );});",98
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});","// assign handlers immediately after making the request,",21
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});",// and remember the jqxhr object for this request,19
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});","var jqxhr = $.get( ""example.php"", function() {",18
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});","alert( ""success"" );",8
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});",}),1
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});",.done(function() {,7
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});","alert( ""second success"" );",10
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});",.fail(function() {,7
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});","alert( ""error"" );",7
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});",.always(function() {,8
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});","alert( ""finished"" );",8
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","// assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// perform other work here ...
 
// set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});",,0
