Paragraph,Ground Truth link,Program link,Partial ratio
These are the default models that are run:,"# tags: location, organization, person
edu/stanford/nlp/models/ner/english.all.3class.distsim.crf.ser.gz
# tags: date, location, money, organization, percent, person, time
edu/stanford/nlp/models/ner/english.muc.7class.distsim.crf.ser.gz
# location, misc, organization, person
edu/stanford/nlp/models/ner/english.conll.4class.distsim.crf.ser.gz","# tags: location, organization, person edu/stanford/nlp/models/ner/english.all.3class.distsim.crf.ser.gz # tags: date, location, money, organization, percent, person, time edu/stanford/nlp/models/ner/english.muc.7class.distsim.crf.ser.gz # location, misc, organization, person edu/stanford/nlp/models/ner/english.conll.4class.distsim.crf.ser.gz",99
"means to match the token “Los” followed by the token “Angeles”, and label them both as CITY, provided they have a current NER tag of O, LOCATION, or MISC.","los angeles	city	location,misc	1.0",bachelor of (arts|science) degree misc 1.0,41
"If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.","java -xmx5g edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -ner.additional.tokensregex.rules example.rules -file example.txt -outputformat text","java -xmx5g edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -ner.additional.tokensregex.rules example.rules -file example.txt -outputformat text",100
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# run default ner
java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputformat text","# run default ner java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputformat text",99
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# run default ner
java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputformat text","# only run rules based ner (numeric classifiers, sutime, tokensregexner, tokensregex) java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -ner.rulesonly -file example.txt",81
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# run default ner
java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputformat text","# only run statistical ner java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -ner.statisticalonly -file example.txt",80
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# run default ner
java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputformat text","# shut off numeric classifiers # note that in this case ner no longer requires pos or lemma java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,ner -ner.applynumericclassifiers false -file example.txt -outputformat text",80
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# run default ner
java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputformat text","# shut off sutime java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -ner.usesutime false -file example.txt -outputformat text",87
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# run default ner
java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputformat text","# specify doc date for each document to be 2019-01-01 # other options for setting doc date specified below java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -ner.docdate.usefixeddate 2019-01-01 -file example.txt",77
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# run default ner
java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputformat text","# shut off fine grained ner java -xmx4g -cp ""*"" edu.stanford.nlp.pipeline.stanfordcorenlp -annotators tokenize,ssplit,pos,lemma,ner -ner.applyfinegrained false -file example.txt -outputformat text",82
