Paragraph,Ground Truth link,Program link,Partial ratio
Execute the test suite with Maven:,mvn clean test,mvn clean test,100
Execute the test suite with Maven:,mvn clean test,mvn clean test,100
Execute the test suite with Gradlew:,gradlew clean build test,gradlew clean build test,100
Execute the test suite with Gradlew:,gradlew clean build test,gradlew clean build test,100
"For example, code like this will create a mixed JSONArray, some items wrapped, others not:","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) };
// these will be wrapped
jsonarray jarr = new jsonarray(myarr);
// these will not be wrapped
jarr.putall(new somebean[]{ new somebean(3), new somebean(4) });","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) }; // these will be wrapped jsonarray jarr = new jsonarray(myarr); // these will not be wrapped jarr.putall(new somebean[]{ new somebean(3), new somebean(4) });",98
"For structure consistency, it would be recommended that the above code is changed to look like 1 of 2 ways.","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) };
jsonarray jarr = new jsonarray();
// these will not be wrapped
jarr.putall(myarr);
// these will not be wrapped
jarr.putall(new somebean[]{ new somebean(3), new somebean(4) });
// our jarr is now consistent.","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) }; jsonarray jarr = new jsonarray(); // these will not be wrapped jarr.putall(myarr); // these will not be wrapped jarr.putall(new somebean[]{ new somebean(3), new somebean(4) }); // our jarr is now consistent.",98
"For structure consistency, it would be recommended that the above code is changed to look like 1 of 2 ways.","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) };
jsonarray jarr = new jsonarray();
// these will not be wrapped
jarr.putall(myarr);
// these will not be wrapped
jarr.putall(new somebean[]{ new somebean(3), new somebean(4) });
// our jarr is now consistent.","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) }; // these will be wrapped jsonarray jarr = new jsonarray(myarr); // these will be wrapped jarr.putall(new jsonarray(new somebean[]{ new somebean(3), new somebean(4) })); // our jarr is now consistent.",82
"For structure consistency, it would be recommended that the above code is changed to look like 1 of 2 ways.","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) };
// these will be wrapped
jsonarray jarr = new jsonarray(myarr);
// these will be wrapped
jarr.putall(new jsonarray(new somebean[]{ new somebean(3), new somebean(4) }));
// our jarr is now consistent.","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) }; jsonarray jarr = new jsonarray(); // these will not be wrapped jarr.putall(myarr); // these will not be wrapped jarr.putall(new somebean[]{ new somebean(3), new somebean(4) }); // our jarr is now consistent.",83
"For structure consistency, it would be recommended that the above code is changed to look like 1 of 2 ways.","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) };
// these will be wrapped
jsonarray jarr = new jsonarray(myarr);
// these will be wrapped
jarr.putall(new jsonarray(new somebean[]{ new somebean(3), new somebean(4) }));
// our jarr is now consistent.","somebean[] myarr = new somebean[]{ new somebean(1), new somebean(2) }; // these will be wrapped jsonarray jarr = new jsonarray(myarr); // these will be wrapped jarr.putall(new jsonarray(new somebean[]{ new somebean(3), new somebean(4) })); // our jarr is now consistent.",98
Build the class files from the package root directory src/main/java,javac org/json/*.java
Create the jar file in the current directory,jar cf json-java.jar org/json/*.class
Compile a program that uses the jar (see example code below),javac -cp .;json-java.jar test.java 
Test file contents,"import org.json.jsonobject;
public class test {
    public static void main(string args[]){
       jsonobject jo = new jsonobject(""{ \""abc\"" : \""def\"" }"");
       system.out.println(jo.tostring());
    }
}"
Execute the Test file,java -cp .;json-java.jar test
Expected output,"{""abc"":""def""}"
"The org.json package can be built from the command line, Maven, and Gradle. The unit tests can be executed from Maven, Gradle, or individually in an IDE e.g. Eclipse.",,javac org/json/*.java
"The org.json package can be built from the command line, Maven, and Gradle. The unit tests can be executed from Maven, Gradle, or individually in an IDE e.g. Eclipse.",,jar cf json-java.jar org/json/*.class
"The org.json package can be built from the command line, Maven, and Gradle. The unit tests can be executed from Maven, Gradle, or individually in an IDE e.g. Eclipse.",,javac -cp .;json-java.jar test.java
"The org.json package can be built from the command line, Maven, and Gradle. The unit tests can be executed from Maven, Gradle, or individually in an IDE e.g. Eclipse.",,"import org.json.jsonobject; public class test { public static void main(string args[]){ jsonobject jo = new jsonobject(""{ \""abc\"" : \""def\"" }""); system.out.println(jo.tostring()); } }"
"The org.json package can be built from the command line, Maven, and Gradle. The unit tests can be executed from Maven, Gradle, or individually in an IDE e.g. Eclipse.",,java -cp .;json-java.jar test
"The org.json package can be built from the command line, Maven, and Gradle. The unit tests can be executed from Maven, Gradle, or individually in an IDE e.g. Eclipse.",,"{""abc"":""def""}"
