API,post_id,final_result
pandas.tseries.offsets.CustomBusinessDay,77687928,True
pandas.tseries.offsets.WeekOfMonth,77727250,True
pandas.core.window.ewm.ExponentialMovingWindow.var,75991862,True
pandas.api.indexers.BaseIndexer,63764458,False
pandas.core.window.rolling.Rolling.aggregate,74117595,False
pandas.io.formats.style.Styler.to_latex,74468856,False
pandas.io.formats.style.Styler.bar,74541618,False
pandas.DataFrame.plot.density,70972793,True
pandas.DataFrame.rank,52733228,True
pandas.DataFrame.max,67007760,False
pandas.DataFrame.aggregate,75264100,False
pandas.DataFrame.keys,72327468,False
pandas.DataFrame.applymap,74583172,False
pandas.Timestamp.floor,77317418,True
pandas.core.groupby.DataFrameGroupBy.all,73819322,False
pandas.errors.EmptyDataError,72998901,False
pandas.errors.DatabaseError,75674167,False
pandas.errors.UnsupportedFunctionCall,73979100,False
pandas.errors.IntCastingNaNError,74993743,False
pandas.errors.ParserError,51536708,False
pandas.errors.UndefinedVariableError,74849597,False
pandas.notnull,27754891,False
pandas.Series.plot.density,70972793,True
pandas.Series.cat,73656526,True
pandas.isnull,27754891,False
pandas.pivot,47392331,True
pandas.Series.bool,75159905,False
pandas.Series.any,73813602,False
pandas.Series.rpow,74127325,False
pandas.Series.all,73813602,False
pandas.Series.plot.bar,33149428,False
pandas.Series.between_time,75402006,False
pandas.Series.backfill,77780228,False
pandas.Series.first,74605469,False
pandas.Series.str,39359601,False
pandas.Series.dt.floor,74758443,False
pandas.Series.div,78245458,False
pandas.Series.dt,74660556,True
pandas.MultiIndex.to_frame,76632765,False
pandas.MultiIndex.set_levels,75512205,True
pandas.MultiIndex.drop,49034807,False
pandas.tseries.offsets.CustomBusinessDay,77581905,True
pandas.DataFrame.rank,66001406,True
pandas.DataFrame.aggregate,75373637,False
pandas.errors.EmptyDataError,73968299,False
pandas.errors.DatabaseError,75437382,False
pandas.errors.UnsupportedFunctionCall,73233830,False
pandas.errors.ParserError,76017730,False
pandas.notnull,76315748,False
pandas.isnull,76991994,False
pandas.pivot,43172970,False
pandas.Series.any,78003185,False
pandas.Series.plot.bar,41778964,False
pandas.Series.first,75352739,False
pandas.Series.str,57875099,True
pandas.Series.dt,74758443,False
pandas.errors.ParserError,73650113,False
