,id,Unnamed: 1,HAS_API,DISCUSSES_API,discusses_api_result,lexrank_summary
0,11976503,https://stackoverflow.com/questions/11976503,False,False,True,"How to keep index when using pandas merge. I would like to merge two DataFrames, and keep the index from the first frame as the index on the merged dataset."
1,38256104,https://stackoverflow.com/questions/38256104,False,False,False,Difference(s) between merge() and concat() in pandas. What's the essential difference(s) between pd.DataFrame.merge() and pd.concat()?
2,13636848,https://stackoverflow.com/questions/13636848,False,False,False,is it possible to do fuzzy match merge with python pandas?. I have two DataFrames which I want to merge based on a column.
3,37697195,https://stackoverflow.com/questions/37697195,False,False,False,how to merge two data frames based on particular column in pandas python?. I have to merge two dataframes: df1 df2 I have to unify both dataframes to one dataframe.
4,9787853,https://stackoverflow.com/questions/9787853,False,False,False,join or merge with overwrite in pandas. Let's say I have df1 and I want to add df2 to it.
5,29351840,https://stackoverflow.com/questions/29351840,False,False,True,"Stack two pandas data frames. How do I stack the following 2 dataframes: to give the following result: Using the pandas merge operations does not work since it just lines the dataframes horizontally (and not vertically, which is what I want)"
6,29761915,https://stackoverflow.com/questions/29761915,False,False,False,I am struggling with the easiest way to do a case insensitive merge in pandas. Thank you!
7,45869886,https://stackoverflow.com/questions/45869886,False,False,True,"Let's say I have two dataframes, and the column names for both are: I want to merge the two tables based on both ShipNumber and TrackNumber. As suggested, I looked into this post: Python pandas merge with OR logic But it is not completely the same issue I think, as the OP from that post has a mapping file, and so they can simply do 2 merges to solve this."
8,50168532,https://stackoverflow.com/questions/50168532,False,False,False,keep both merging keys after pandas.merge_asof. I have found this nice function  pandas.merge_asof.
9,46563833,https://stackoverflow.com/questions/46563833,False,False,False,"How to merge/combine columns in pandas?. I have a (example-) dataframe with 4 columns: I would now like to merge/combine columns B, C, and D to a new column E like in this example: I found a quite similar question here but this adds the merged colums B, C, and D at the end of column A: Thanks for help."
10,46732760,https://stackoverflow.com/questions/46732760,False,False,False,merge rows pandas dataframe based on condition. Hi have a dataframe df containing a set of events (rows).
11,49671693,https://stackoverflow.com/questions/49671693,False,False,False,pandas DataFrame: normalize one JSON column and merge with other columns. I have a pandas DataFrame containing one column with multiple JSON data items as list of dicts.
12,25095971,https://stackoverflow.com/questions/25095971,False,False,False,"How to merge two dataframe in pandas to replace nan. I want to do this in pandas: I have 2 dataframes, A and B, I want to replace only NaN of A with B values."
13,48051100,https://stackoverflow.com/questions/48051100,False,False,True,python pandas merge multiple csv files. the aim is to merge them all together in one csv file.
14,52783391,https://stackoverflow.com/questions/52783391,False,False,False,"I have a dataframe of the form: I would like to group all rows with matching 'id' and 'date', while merging the dictionaries of 'area1' and 'area2'. But if I understand correctly it is possible to pass a function to agg, so would it be possible to merge the dictionaries like that?"
15,32250200,https://stackoverflow.com/questions/32250200,False,False,False,How can I merge two pandas DataFrames based on a function instead of just where values are equal?. I have two DataFrames that each have a column for firstname.
16,39276249,https://stackoverflow.com/questions/39276249,False,False,False,"merge two dataframe columns into 1 in pandas. I have 2 columns in my data frame and I need to merge it into 1 single column there will always be one 1 value across the Columns, i want my result to look like"
17,49522818,https://stackoverflow.com/questions/49522818,False,False,False,How to merge pandas table by regex. I am wondering if there a fast way to merge two pandas tables by the regular expression in python .
18,53645882,https://stackoverflow.com/questions/53645882,True,True,False,Pandas Merging 101. The aim here is to collate some of the more important points for posterity.
19,41815079,https://stackoverflow.com/questions/41815079,True,True,False,pandas: merge (join) two data frames on multiple columns. I am trying to join two pandas dataframes using two columns: but got the following error: Any idea what should be the right way to do this?
20,31528819,https://stackoverflow.com/questions/31528819,True,True,False,"In type_df, the project number is the index. I'm not sure how to reference the index and if merge is even the right way to do this."
21,44367672,https://stackoverflow.com/questions/44367672,True,False,False,"For instance if there are 2 dataframes: A (A_id, A_value) B (B_id,B_low, B_high, B_name) which are big and approximately of the same size (let's say 2M records each). Meanwhile in pandas the only way (that's not using loops that I found), is by creating a dummy column in both tables, join on it (equivalent to cross-join) and then filter out unneeded rows."
22,28174752,https://stackoverflow.com/questions/28174752,True,True,False,"All of the rows that do not have supplemental info are dropped. Ideally, I would have the values in those missing columns set to unknown."
23,38242368,https://stackoverflow.com/questions/38242368,True,True,False,"""Anti-merge"" in pandas (Python). How can I pick out the difference between to columns of the same name in two dataframes?"
24,20206615,https://stackoverflow.com/questions/20206615,True,True,False,"I've tried setting indexes, resetting them, no matter what I do, I can't get the returned output to have the rows in the same order. But now the order is no longer the original 'a,b,c'."
25,37095161,https://stackoverflow.com/questions/37095161,True,True,True,Number of rows changes even after `pandas.merge` with `left` option. I am merging two data frames using pandas.merge.
26,27065133,https://stackoverflow.com/questions/27065133,True,True,False,"Pandas merge giving error ""Buffer has wrong number of dimensions (expected 1, got 2)"". I am using 3 columns to match on whereas just before I do  similar merge on only 2 columns and it works fine."
27,32676027,https://stackoverflow.com/questions/32676027,True,True,False,"I want to merge do a ""(df1 & not df2)"" kind of merge on keys (x,y), meaning I want my code to return a dataframe containing rows with (x,y) only in df1 & not in df2. SAS has an equivalent functionality Who to replicate the same functionality in pandas elegantly?"
28,21201618,https://stackoverflow.com/questions/21201618,True,True,True,"pandas.merge: match the nearest time stamp >= the series of timestamps. I have two dataframes, both of which contain an irregularly spaced, millisecond resolution timestamp column."
29,23940181,https://stackoverflow.com/questions/23940181,True,True,True,pandas - merging with missing values. There appears to be a quirk with the pandas merge function.
30,53688988,https://stackoverflow.com/questions/53688988,True,True,False,"I recently asked a question regarding missing values in pandas here and was directed to a github issue. Essentially, as I asked above, why does merge and join match on np.nan when they do not compare equal?"
