Code,Signature,Linked,Source File,Page
load(),load(),,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
dump(),dump(),,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
dumps(),dumps(),dumps(),orjson/orjson.pyi,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
"dumps(...) + ""\n""",,,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
loads(),loads(),loads(),orjson/orjson.pyi,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
dataclasses.asdict(),dataclasses.asdict(),,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
"field(metadata={""json_serialize"": False})","field(metadata={""json_serialize"": False})",,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
isoformat(),isoformat(),,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
dumps(),dumps(),dumps(),orjson/orjson.pyi,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
orjson.dumps(),orjson.dumps(),dumps(),orjson/orjson.pyi,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
dumps(),dumps(),dumps(),orjson/orjson.pyi,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
obj.tolist(),obj.tolist(),,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
"(50000, 100)",,,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
"(100000, 100)",,,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
"(100000, 200)",,,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
ndarray.tolist(),ndarray.tolist(),,,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
orjson.dumps(),orjson.dumps(),dumps(),orjson/orjson.pyi,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
loads(),loads(),loads(),orjson/orjson.pyi,http://web.archive.org/web/20210831032333/https://github.com/ijl/orjson
load(),load(),,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
dump(),dump(),,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
dumps(),dumps(),dumps(),orjson/orjson.pyi,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
"dumps(...) + ""\n""",,,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
loads(),loads(),loads(),orjson/orjson.pyi,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
dataclasses.asdict(),dataclasses.asdict(),,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
"field(metadata={""json_serialize"": False})","field(metadata={""json_serialize"": False})",,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
isoformat(),isoformat(),,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
dumps(),dumps(),dumps(),orjson/orjson.pyi,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
orjson.dumps(),orjson.dumps(),dumps(),orjson/orjson.pyi,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
dumps(),dumps(),dumps(),orjson/orjson.pyi,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
obj.tolist(),obj.tolist(),,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
"(50000, 100)",,,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
"(100000, 100)",,,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
"(100000, 200)",,,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
ndarray.tolist(),ndarray.tolist(),,,http://web.archive.org/web/20210228072553/https://github.com/ijl/orjson
